predicted_direction,predicted_state_at_horizon,horizon_months,voice,hedged,attributed_to,page_id,source,arm,window,window_kind,cycle,newspaper_title,lccn,date,publisher_state,claim_month,target_month,actual_state,hit,confidence,brier,epu
worsen,recession,6,other,False,,1929213332,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-20,,2009-01,2009-07,expansion,False,0.9,0.81,236.5221
improve,expansion,6,other,False,,1929213387,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-07,,2009-01,2009-07,expansion,True,0.9,0.009999999999999995,236.5221
worsen,recession,12,quoted_banker_or_economist,False,Roubini,1929213392,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-03,,2009-01,2010-01,expansion,False,0.9,0.81,236.5221
improve,expansion,12,quoted_banker_or_economist,True,Wojnilower,1929213392,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-03,,2009-01,2010-01,expansion,True,0.7,0.09000000000000002,236.5221
improve,expansion,6,reported_survey,True,,1929213392,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-03,,2009-01,2009-07,expansion,True,0.7,0.09000000000000002,236.5221
improve,expansion,6,quoted_banker_or_economist,True,Barbera,1929213392,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-03,,2009-01,2009-07,expansion,True,0.7,0.09000000000000002,236.5221
improve,expansion,6,reported_survey,True,,1929213433,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-03,,2009-01,2009-07,expansion,True,0.7,0.09000000000000002,236.5221
improve,expansion,6,reported_survey,False,,1929213433,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-03,,2009-01,2009-07,expansion,True,0.9,0.009999999999999995,236.5221
worsen,recession,6,editorial,False,,1929213546,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-20,,2009-01,2009-07,expansion,False,0.9,0.81,236.5221
improve,expansion,6,editorial,True,,1929213546,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-20,,2009-01,2009-07,expansion,True,0.7,0.09000000000000002,236.5221
worsen,recession,6,editorial,True,,1929213649,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-05,,2009-01,2009-07,expansion,False,0.7,0.48999999999999994,236.5221
worsen,recession,6,editorial,False,,1929213649,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-05,,2009-01,2009-07,expansion,False,0.9,0.81,236.5221
improve,expansion,6,editorial,False,,1929213649,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-05,,2009-01,2009-07,expansion,True,0.9,0.009999999999999995,236.5221
worsen,recession,6,other,True,,1929213718,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-17,,2009-01,2009-07,expansion,False,0.7,0.48999999999999994,236.5221
improve,expansion,6,other,False,,1929213718,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-17,,2009-01,2009-07,expansion,True,0.9,0.009999999999999995,236.5221
worsen,recession,6,other,True,,1929213718,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-17,,2009-01,2009-07,expansion,False,0.7,0.48999999999999994,236.5221
worsen,recession,6,other,False,,1929213819,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-19,,2009-01,2009-07,expansion,False,0.9,0.81,236.5221
improve,expansion,6,politician,False,Rahm Emanuel,1929213833,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-19,,2009-01,2009-07,expansion,True,0.9,0.009999999999999995,236.5221
improve,expansion,6,reported_survey,False,,1929214038,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-01,,2009-01,2009-07,expansion,True,0.9,0.009999999999999995,236.5221
worsen,recession,6,quoted_banker_or_economist,False,Steve Ballmer,1929214049,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-23,,2009-01,2009-07,expansion,False,0.9,0.81,236.5221
worsen,recession,6,reported_survey,False,,1929214049,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-23,,2009-01,2009-07,expansion,False,0.9,0.81,236.5221
worsen,recession,6,other,False,,1929214049,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-23,,2009-01,2009-07,expansion,False,0.9,0.81,236.5221
worsen,recession,6,quoted_banker_or_economist,False,Meredith A. Whitney,1929214058,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-13,,2009-01,2009-07,expansion,False,0.9,0.81,236.5221
worsen,recession,6,other,False,,1929214058,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-13,,2009-01,2009-07,expansion,False,0.9,0.81,236.5221
worsen,recession,6,other,False,,1929214058,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-13,,2009-01,2009-07,expansion,False,0.9,0.81,236.5221
worsen,recession,6,quoted_banker_or_economist,False,Meredith A. Whitney,1929214058,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-13,,2009-01,2009-07,expansion,False,0.9,0.81,236.5221
worsen,recession,12,reported_survey,False,Rod Bourgeois,1929214072,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-09,,2009-01,2010-01,expansion,False,0.9,0.81,236.5221
worsen,recession,12,other,False,,1929214072,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-09,,2009-01,2010-01,expansion,False,0.9,0.81,236.5221
worsen,recession,6,reported_survey,False,,1929214152,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-13,,2009-01,2009-07,expansion,False,0.9,0.81,236.5221
worsen,recession,6,other,True,,1929214152,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-13,,2009-01,2009-07,expansion,False,0.7,0.48999999999999994,236.5221
worsen,recession,6,quoted_banker_or_economist,True,,1929214152,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-13,,2009-01,2009-07,expansion,False,0.7,0.48999999999999994,236.5221
worsen,recession,6,quoted_banker_or_economist,True,Ron Haskins,1929214171,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-02,,2009-02,2009-08,expansion,False,0.7,0.48999999999999994,233.6522
worsen,recession,12,quoted_banker_or_economist,True,David Hansell,1929214171,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-02,,2009-02,2010-02,expansion,False,0.7,0.48999999999999994,233.6522
worsen,recession,6,reported_survey,False,,1929214209,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-31,,2009-01,2009-07,expansion,False,0.9,0.81,236.5221
worsen,recession,6,reported_survey,False,Randy Frederick,1929214209,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-31,,2009-01,2009-07,expansion,False,0.9,0.81,236.5221
worsen,recession,6,politician,True,Barack Obama,1929214213,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-09,,2009-01,2009-07,expansion,False,0.7,0.48999999999999994,236.5221
improve,expansion,6,politician,True,Mayor Bloomberg,1929214219,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-26,,2009-01,2009-07,expansion,True,0.7,0.09000000000000002,236.5221
improve,expansion,6,politician,True,Senator Schumer,1929214219,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-26,,2009-01,2009-07,expansion,True,0.7,0.09000000000000002,236.5221
worsen,recession,6,quoted_banker_or_economist,False,Ren Jianxin,1929214273,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-31,,2009-01,2009-07,expansion,False,0.9,0.81,236.5221
worsen,recession,6,reported_survey,True,,1929214273,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-31,,2009-01,2009-07,expansion,False,0.7,0.48999999999999994,236.5221
worsen,recession,6,quoted_banker_or_economist,False,Mukesh Ambani,1929214273,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-31,,2009-01,2009-07,expansion,False,0.9,0.81,236.5221
improve,expansion,6,reported_survey,True,,1929214306,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-01,,2009-01,2009-07,expansion,True,0.7,0.09000000000000002,236.5221
improve,expansion,12,quoted_banker_or_economist,True,Thomas J. Lee,1929214306,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-01,,2009-01,2010-01,expansion,True,0.7,0.09000000000000002,236.5221
worsen,recession,6,quoted_banker_or_economist,True,,1929214342,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-21,,2009-02,2009-08,expansion,False,0.7,0.48999999999999994,233.6522
worsen,recession,6,quoted_banker_or_economist,True,Abiel Reinhart,1929214342,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-21,,2009-02,2009-08,expansion,False,0.7,0.48999999999999994,233.6522
worsen,recession,6,editorial,False,,1929214342,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-21,,2009-02,2009-08,expansion,False,0.9,0.81,233.6522
worsen,recession,6,editorial,False,,1929214379,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-03,,2009-02,2009-08,expansion,False,0.9,0.81,233.6522
worsen,recession,6,editorial,False,,1929214379,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-03,,2009-02,2009-08,expansion,False,0.9,0.81,233.6522
worsen,recession,6,editorial,False,,1929214379,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-03,,2009-02,2009-08,expansion,False,0.9,0.81,233.6522
worsen,recession,6,quoted_banker_or_economist,True,Aaron Smith,1929214379,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-03,,2009-02,2009-08,expansion,False,0.7,0.48999999999999994,233.6522
worsen,recession,6,editorial,False,,1929214379,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-03,,2009-02,2009-08,expansion,False,0.9,0.81,233.6522
worsen,recession,6,quoted_banker_or_economist,True,Peter Schiff,1929214379,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-03,,2009-02,2009-08,expansion,False,0.7,0.48999999999999994,233.6522
worsen,recession,6,editorial,True,,1929214420,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-06,,2009-01,2009-07,expansion,False,0.7,0.48999999999999994,236.5221
worsen,recession,6,government_official,False,Mayor Bloomberg,1929214420,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-06,,2009-01,2009-07,expansion,False,0.9,0.81,236.5221
stable,recession,6,quoted_banker_or_economist,True,Pamela Liebman,1929214420,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-06,,2009-01,2009-07,expansion,False,0.7,0.48999999999999994,236.5221
improve,expansion,6,editorial,True,,1929214432,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-28,,2009-01,2009-07,expansion,True,0.7,0.09000000000000002,236.5221
improve,expansion,6,editorial,True,,1929214432,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-28,,2009-01,2009-07,expansion,True,0.7,0.09000000000000002,236.5221
worsen,recession,6,quoted_banker_or_economist,True,,1929214434,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-01,,2009-01,2009-07,expansion,False,0.7,0.48999999999999994,236.5221
worsen,recession,6,quoted_banker_or_economist,True,Bill Martin,1929214434,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-01,,2009-01,2009-07,expansion,False,0.7,0.48999999999999994,236.5221
worsen,recession,6,quoted_banker_or_economist,True,,1929214434,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-01,,2009-01,2009-07,expansion,False,0.7,0.48999999999999994,236.5221
worsen,recession,12,quoted_banker_or_economist,False,,1929214460,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-07,,2009-02,2010-02,expansion,False,0.9,0.81,233.6522
worsen,recession,6,quoted_banker_or_economist,True,Mark Zandi,1929214460,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-07,,2009-02,2009-08,expansion,False,0.7,0.48999999999999994,233.6522
worsen,recession,6,quoted_banker_or_economist,True,,1929214460,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-07,,2009-02,2009-08,expansion,False,0.7,0.48999999999999994,233.6522
improve,expansion,6,reported_survey,False,,1929214460,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-07,,2009-02,2009-08,expansion,True,0.9,0.009999999999999995,233.6522
worsen,recession,6,quoted_banker_or_economist,True,,1929214526,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-28,,2009-01,2009-07,expansion,False,0.7,0.48999999999999994,236.5221
improve,expansion,6,other,True,,1929214539,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-31,,2009-01,2009-07,expansion,True,0.7,0.09000000000000002,236.5221
improve,expansion,24,reported_survey,False,Independent Budget Office,1929214568,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-09,,2009-01,2011-01,expansion,True,0.9,0.009999999999999995,236.5221
worsen,recession,24,reported_survey,False,Independent Budget Office,1929214568,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-09,,2009-01,2011-01,expansion,False,0.9,0.81,236.5221
worsen,recession,12,reported_survey,False,Independent Budget Office,1929214568,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-09,,2009-01,2010-01,expansion,False,0.9,0.81,236.5221
worsen,recession,18,reported_survey,False,Independent Budget Office,1929214568,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-09,,2009-01,2010-07,expansion,False,0.9,0.81,236.5221
worsen,recession,12,reported_survey,False,Independent Budget Office,1929214568,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-09,,2009-01,2010-01,expansion,False,0.9,0.81,236.5221
worsen,recession,12,government_official,False,,1929214776,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-22,,2009-01,2010-01,expansion,False,0.9,0.81,236.5221
worsen,recession,12,reported_survey,True,,1929214776,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-22,,2009-01,2010-01,expansion,False,0.7,0.48999999999999994,236.5221
improve,expansion,6,politician,False,Barack Obama,1929215446,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-09,,2009-02,2009-08,expansion,True,0.9,0.009999999999999995,233.6522
worsen,recession,12,quoted_banker_or_economist,True,,1929215510,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-04,,2009-02,2010-02,expansion,False,0.7,0.48999999999999994,233.6522
worsen,recession,6,reported_survey,False,Keith Martin,1929215510,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-04,,2009-02,2009-08,expansion,False,0.9,0.81,233.6522
worsen,recession,6,editorial,True,,1929215510,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-04,,2009-02,2009-08,expansion,False,0.7,0.48999999999999994,233.6522
worsen,recession,6,editorial,False,,1929215510,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-04,,2009-02,2009-08,expansion,False,0.9,0.81,233.6522
worsen,recession,6,government_official,True,,1929215543,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-23,,2009-02,2009-08,expansion,False,0.7,0.48999999999999994,233.6522
worsen,recession,6,government_official,True,,1929215543,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-23,,2009-02,2009-08,expansion,False,0.7,0.48999999999999994,233.6522
improve,expansion,6,quoted_banker_or_economist,True,Michael T. Darda,1929215552,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-17,,2009-02,2009-08,expansion,True,0.7,0.09000000000000002,233.6522
improve,expansion,6,quoted_banker_or_economist,True,Michael T. Darda,1929215552,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-17,,2009-02,2009-08,expansion,True,0.7,0.09000000000000002,233.6522
improve,expansion,6,reported_survey,False,,1929215552,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-17,,2009-02,2009-08,expansion,True,0.9,0.009999999999999995,233.6522
improve,expansion,6,reported_survey,True,,1929215552,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-17,,2009-02,2009-08,expansion,True,0.7,0.09000000000000002,233.6522
improve,expansion,6,reported_survey,False,,1929215552,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-17,,2009-02,2009-08,expansion,True,0.9,0.009999999999999995,233.6522
worsen,recession,6,reported_survey,False,,1929215618,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-29,,2009-01,2009-07,expansion,False,0.9,0.81,236.5221
worsen,recession,6,quoted_banker_or_economist,True,Richard Shemtov,1929215618,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-29,,2009-01,2009-07,expansion,False,0.7,0.48999999999999994,236.5221
improve,expansion,24,quoted_banker_or_economist,False,analysts,1929215647,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-10,,2009-01,2011-01,expansion,True,0.9,0.009999999999999995,236.5221
worsen,recession,6,quoted_banker_or_economist,True,Ryan Detrick,1929215647,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-10,,2009-01,2009-07,expansion,False,0.7,0.48999999999999994,236.5221
worsen,recession,12,other,False,,1929215828,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-04,,2009-02,2010-02,expansion,False,0.9,0.81,233.6522
stable,recession,6,quoted_banker_or_economist,False,George Magliano,1929215828,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-04,,2009-02,2009-08,expansion,False,0.9,0.81,233.6522
improve,expansion,6,other,False,,1929215828,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-04,,2009-02,2009-08,expansion,True,0.9,0.009999999999999995,233.6522
worsen,recession,6,quoted_banker_or_economist,False,Steven Landry,1929215828,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-04,,2009-02,2009-08,expansion,False,0.9,0.81,233.6522
improve,expansion,12,reported_survey,False,,1929215911,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-24,,2009-02,2010-02,expansion,True,0.9,0.009999999999999995,233.6522
improve,expansion,6,reported_survey,True,,1929215911,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-24,,2009-02,2009-08,expansion,True,0.7,0.09000000000000002,233.6522
improve,expansion,24,reported_survey,False,,1929215911,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-24,,2009-02,2011-02,expansion,True,0.9,0.009999999999999995,233.6522
worsen,recession,6,quoted_banker_or_economist,True,Charles Collyns,1929215927,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-24,,2009-02,2009-08,expansion,False,0.7,0.48999999999999994,233.6522
worsen,recession,6,quoted_banker_or_economist,False,Dominique Strauss-Kahn,1929215927,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-24,,2009-02,2009-08,expansion,False,0.9,0.81,233.6522
stable,recession,6,other,False,,1929215927,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-24,,2009-02,2009-08,expansion,False,0.9,0.81,233.6522
worsen,recession,6,quoted_banker_or_economist,False,Robert Brusca,1929215927,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-24,,2009-02,2009-08,expansion,False,0.9,0.81,233.6522
worsen,recession,6,quoted_banker_or_economist,False,Joseph Saluzzi,1929215927,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-24,,2009-02,2009-08,expansion,False,0.9,0.81,233.6522
worsen,recession,6,editorial,False,,1929215930,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-10,,2009-01,2009-07,expansion,False,0.9,0.81,236.5221
stable,recession,6,other,True,,1929215930,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-10,,2009-01,2009-07,expansion,False,0.7,0.48999999999999994,236.5221
worsen,recession,6,editorial,False,,1929215930,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-10,,2009-01,2009-07,expansion,False,0.9,0.81,236.5221
worsen,recession,6,quoted_banker_or_economist,False,Stuart G. Hoffman,1929215930,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-10,,2009-01,2009-07,expansion,False,0.9,0.81,236.5221
worsen,recession,6,quoted_banker_or_economist,False,,1929215930,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-10,,2009-01,2009-07,expansion,False,0.9,0.81,236.5221
worsen,recession,18,quoted_banker_or_economist,True,Nicole Gelinas,1929215946,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-16,,2009-02,2010-08,expansion,False,0.7,0.48999999999999994,233.6522
stable,recession,6,quoted_banker_or_economist,True,Charles Brecher,1929215946,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-16,,2009-02,2009-08,expansion,False,0.7,0.48999999999999994,233.6522
stable,expansion,6,quoted_banker_or_economist,True,Ronnie Lowenstein,1929215946,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-16,,2009-02,2009-08,expansion,True,0.7,0.09000000000000002,233.6522
worsen,recession,6,reported_survey,False,,1929215955,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-10,,2009-01,2009-07,expansion,False,0.9,0.81,236.5221
worsen,recession,6,quoted_banker_or_economist,False,,1929215955,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-01-10,,2009-01,2009-07,expansion,False,0.9,0.81,236.5221
worsen,recession,6,quoted_banker_or_economist,False,Nouriel Roubini,1929216183,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-16,,2009-02,2009-08,expansion,False,0.9,0.81,233.6522
worsen,recession,6,reported_survey,False,,1929216183,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-16,,2009-02,2009-08,expansion,False,0.9,0.81,233.6522
improve,expansion,6,other,True,Robert I. Toll,1929216191,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-03-05,,2009-03,2009-09,expansion,True,0.7,0.09000000000000002,201.7767
worsen,recession,24,reported_survey,True,,1929216220,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-09,,2009-02,2011-02,expansion,False,0.7,0.48999999999999994,233.6522
improve,expansion,6,quoted_banker_or_economist,False,Edward Atorino,1929216220,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-09,,2009-02,2009-08,expansion,True,0.9,0.009999999999999995,233.6522
stable,recession,24,quoted_banker_or_economist,True,Mike Simonton,1929216220,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-09,,2009-02,2011-02,expansion,False,0.7,0.48999999999999994,233.6522
improve,expansion,12,quoted_banker_or_economist,False,Mr. Harte,1929216220,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-09,,2009-02,2010-02,expansion,True,0.9,0.009999999999999995,233.6522
worsen,recession,6,government_official,True,Federal Reserve,1929216222,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-03-05,,2009-03,2009-09,expansion,False,0.7,0.48999999999999994,201.7767
worsen,recession,6,reported_survey,True,,1929216222,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-03-05,,2009-03,2009-09,expansion,False,0.7,0.48999999999999994,201.7767
worsen,recession,6,other,True,,1929216222,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-03-05,,2009-03,2009-09,expansion,False,0.7,0.48999999999999994,201.7767
worsen,recession,6,reported_survey,True,,1929216222,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-03-05,,2009-03,2009-09,expansion,False,0.7,0.48999999999999994,201.7767
worsen,recession,6,reported_survey,False,,1929216222,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-03-05,,2009-03,2009-09,expansion,False,0.9,0.81,201.7767
worsen,recession,6,quoted_banker_or_economist,True,Mr. Martin,1929216230,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-04,,2009-02,2009-08,expansion,False,0.7,0.48999999999999994,233.6522
worsen,recession,6,quoted_banker_or_economist,True,Mr. Martin,1929216230,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-04,,2009-02,2009-08,expansion,False,0.7,0.48999999999999994,233.6522
worsen,recession,6,other,False,,1929216230,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-04,,2009-02,2009-08,expansion,False,0.9,0.81,233.6522
worsen,recession,12,other,True,,1929216230,proquest,economy,gfc_2008,crisis,,New York Times (2008-),,2009-02-04,,2009-02,2010-02,expansion,False,0.7,0.48999999999999994,233.6522
