claim_id,episode,kind,publisher,state,date,search_term,page_url,quote,is_prediction,topic,direction,price_direction,unemployment_direction,horizon_months,confidence,voice,speaker_name
17,1907 Panic,crisis,"the commoner (lincoln, neb.) 1901-1923",nebraska,1907-11-29,financial panic,http://www.loc.gov/resource/46032385/1907-11-29/ed-1/?sp=4,"President Roosevelt message, so I am told, will start with a reference to the financial panic which the country has just experienced.",no,general_business,unclear,na,na,vague,hedged,journalist,na
18,1907 Panic,crisis,"the commoner (lincoln, neb.) 1901-1923",nebraska,1907-11-29,financial panic,http://www.loc.gov/resource/46032385/1907-11-29/ed-1/?sp=4,"He will declare in that message that the panic was not due to any lack of prosperity, to any strin gency in the money market or any contraction of the currency, but simply to a general lack of confidence on thepart of the public In great banks and financial institutions due to the oper ations of such financiers as Mr.",no,general_business,unclear,na,na,vague,unclear,official,na
19,1907 Panic,crisis,"the daily guard (batesville, ark.) 1905-1912",arkansas,1908-01-13,financial panic,http://www.loc.gov/resource/sn90050267/1908-01-13/ed-1/?sp=1,"The science of medicine is very in accurate, and practitioners are con tinually learning much which will be of material benefit to coming genera tions.",no,other,unclear,na,na,vague,unclear,unclear,na
20,1907 Panic,crisis,"the daily guard (batesville, ark.) 1905-1912",arkansas,1908-01-13,financial panic,http://www.loc.gov/resource/sn90050267/1908-01-13/ed-1/?sp=1,"Being of lawful age and having the required surety along with him, the clerk at once pvt his fist to the desired document, A few days later the license was re turned, endorsed \u201cNo Property found\u201d It is not definitely known as to wheth er or not the sarch will be renewed.",no,other,unclear,na,na,vague,hedged,unclear,na
21,1907 Panic,crisis,"aberdeen herald (aberdeen, chehalis county, w.t.) 1886-1917",washington,1907-10-21,financial panic,http://www.loc.gov/resource/sn87093220/1907-10-21/ed-1/?sp=4,THE FARMERS WILL BE BUYING MORE AUTOMO BILES THIS FALL.,yes,general_business,improve,na,na,vague,assertive,journalist,na
22,1907 Panic,crisis,"aberdeen herald (aberdeen, chehalis county, w.t.) 1886-1917",washington,1907-10-21,financial panic,http://www.loc.gov/resource/sn87093220/1907-10-21/ed-1/?sp=4,AND INSTEAD OF DISASTER THERE WILL BE MORE REAL PROSPERITY THAN EVER BEFORE.,yes,general_business,improve,na,na,vague,assertive,unclear,na
23,1907 Panic,crisis,"bismarck daily tribune (bismarck, dakota [n.d.]) 1881-1916",north dakota,1908-01-09,financial panic,http://www.loc.gov/resource/sn85042242/1908-01-09/ed-1/?sp=3,"\u2022\u2022nf Of course where corporations are still acting outside of the law UNKNOWINGLY it is to be expected that they should be set right, but I am sure they can be accomplished without harm to any one and without the least injury to credit, if the situation is PROPERLY AND INTELLIGENTLY HANDLED by the administration.",yes,general_business,improve,na,na,vague,assertive,expert,na
24,1907 Panic,crisis,"bismarck daily tribune (bismarck, dakota [n.d.]) 1881-1916",north dakota,1908-01-09,financial panic,http://www.loc.gov/resource/sn85042242/1908-01-09/ed-1/?sp=3,"NO FEAR, THE FARMERS WILL BE' BUYING MORE AUTOMO\u00ad BILES THIS FALL, AND IN8TEAD OF DISASTER THERE WILL BE MORE REAL PROSPERITY THAN EVER BEFORE.",yes,general_business,improve,na,na,vague,assertive,unclear,na
25,1907 Panic,crisis,"coeur d'alene evening press (coeur d'alene, idaho) 1907-1929",idaho,1908-01-23,financial panic,http://www.loc.gov/resource/sn88056094/1908-01-23/ed-1/?sp=4,If the foreigner is paid more money than he actually needs to live on I1E WILL SEND IT HOME.,no,other,unclear,na,na,vague,unclear,unclear,na
26,1907 Panic,crisis,"coeur d'alene evening press (coeur d'alene, idaho) 1907-1929",idaho,1908-01-23,financial panic,http://www.loc.gov/resource/sn88056094/1908-01-23/ed-1/?sp=4,PERHAPS THE FINANCIAL PANIC WILL TEACH US A LESSON AND SOME TIME IN THE FUTURE THE AMERICANS WILL GO BACK TO WORK.,yes,employment,improve,na,down,vague,hedged,journalist,na
27,1907 Panic,crisis,"the nashville globe (nashville, tenn.) 1906-193?",tennessee,1908-06-05,financial panic,http://www.loc.gov/resource/sn86064259/1908-06-05/ed-1/?sp=1,"It is thought she will recov Miss 'Matt to Winfrey, who finished in the normal department, of Walden University, left the city Sunday for Vr homo at Little Rock.",no,other,unclear,na,na,vague,unclear,unclear,na
28,1907 Panic,crisis,"the wisconsin tobacco reporter (edgerton, wis.) 1877-1950",wisconsin,1908-01-17,financial panic,http://www.loc.gov/resource/sn86086586/1908-01-17/ed-1/?sp=1,Or the whole the showing is not as bad as was expected.,no,general_business,unclear,na,na,vague,hedged,unclear,na
29,1907 Panic,crisis,"the wisconsin tobacco reporter (edgerton, wis.) 1877-1950",wisconsin,1908-01-17,financial panic,http://www.loc.gov/resource/sn86086586/1908-01-17/ed-1/?sp=1,"Fully 85 per cent, of this falling off, however, took place during the last quarter of the year, and may in a large measure be put down to the financial panic, a more or less ac cidental condition, which, there is rea son to hope, will not recur.\u2014Journal.",yes,general_business,improve,na,na,vague,hedged,journalist,na
30,1907 Panic,crisis,"the wisconsin tobacco reporter (edgerton, wis.) 1877-1950",wisconsin,1908-01-17,financial panic,http://www.loc.gov/resource/sn86086586/1908-01-17/ed-1/?sp=1,"The trade will undoubtedly be grati fied to learn that the output of our cigar industry for the year just passed, that is 1907, in the dominating cigar manufact uring districts escaped the severer con sequences of the recent financial panic with just a black eye.",no,general_business,unclear,na,na,na,assertive,journalist,na
31,1907 Panic,crisis,"the prince george's enquirer and southern maryland advertiser (upper marlborough, md.) 1882-1925",maryland,1908-03-06,financial panic,http://www.loc.gov/resource/sn89060124/1908-03-06/ed-1/?sp=2,"Eventually, it may be as sumed, questions that arise will be fairly adjusted, but in the meantime the railways have to face the loss of revenue consi quent upon the en forced idleness of their equipment, while to a number of employes this bas brought about either loss of em ployment or reduction of hours of labor.\u201d Lower passenger rales, ;l is shown, have not stimulated tmaci enough to offset the loss of revenue and the higher cost of operation, due to increases in wages and cost of operation.",no,employment,worsen,na,up,vague,hedged,unclear,na
32,1907 Panic,crisis,"santa fe new mexican (santa fe, n.m.) 1898-1951",new mexico,1908-01-29,financial panic,http://www.loc.gov/resource/sn84020630/1908-01-29/ed-1/?sp=1,It Is learned from an authoritative source that the Santa Fe Gold and Copper company will resume opera tions at San Pedro within a few weeks The properties of the company were closed down several months ago at the beginning of the financial panic.,yes,general_business,improve,na,na,vague,assertive,unclear,na
33,1907 Panic,crisis,"the broad ax (salt lake city, utah;chicago, ill.) 1895-19??",illinois; utah,1907-11-30,financial panic,http://www.loc.gov/resource/sn84024055/1907-11-30/ed-1/?sp=1,"will recall the fact, that \""the bank- ers and the money gamblers, pur posely brought on the financial panic of 1894, in order to force President Graver Cleveland through his secre tary of the treasury, to issne $250,000, 000 million of United States Bonds, so that the bankers and the money gamblers could gobble them up at a large profit thereby piling a heavier burden on the backs of the common people.",no,other,unclear,na,na,vague,unclear,unclear,na
34,1907 Panic,crisis,"the princeton union (princeton, minn.) 1876-1976",minnesota,1907-11-07,financial panic,http://www.loc.gov/resource/sn83016758/1907-11-07/ed-1/?sp=4,"Charlemagne Tower has tired of his job as ambassador to Berlin with its paltry $17,500 a year and will quit im mediately a successor is found.",no,other,unclear,na,na,vague,assertive,unclear,na
35,1907 Panic,crisis,"the springdale news (springdale, ark.) 1887-1990",arkansas,1907-12-13,financial panic,http://www.loc.gov/resource/sn83007654/1907-12-13/ed-1/?sp=1,"Stokes, who eeently traded for the Chewniig resi dence property in the eastoart of town, has made sonu ijprove ments on same and moved his family in Wednesday aid will make it their home.",no,other,unclear,na,na,vague,hedged,unclear,na
36,1907 Panic,crisis,"albuquerque citizen (albuquerque, n.m.) 1907-1909",new mexico,1908-04-02,financial panic,http://www.loc.gov/resource/sn84020616/1908-04-02/ed-1/?sp=1,"The national Populist convention accomplished but ljttle work this morning and the nomination of a national ticket will probably not be accomplished until late this evening, as a result of the) Hrjan supporters seeking for a post ponement of the convention until af ter the Republican and Democratic conventions have' been held.",no,other,unclear,na,na,vague,hedged,unclear,na
37,1907 Panic,crisis,"evening star (washington, d.c.) 1854-1972",district of columbia,1908-06-27,financial panic,http://www.loc.gov/resource/sn83045462/1908-06-27/ed-1/?sp=12,"And those who made iese predictions had no prescience of her calamities that were to follow hard i the heels of the areat catastronhe hieh had crumbled the city into ashes: r there were to follow bribery and coription on the part of city officials, rikes, financial panic and a plague epismie.",no,other,unclear,na,na,vague,hedged,unclear,na
38,1907 Panic,crisis,"the tucumcari news and tucumcari times (tucumcari, n.m.) 1907-1921",new mexico,1908-03-21,financial panic,http://www.loc.gov/resource/sn93061711/1908-03-21/ed-1/?sp=13,"Our stock is larger, better selected and more comprehensive than ever before We call thi the \""Limit Sale\"" because quantities are limited and we are forced to limit each customer to certain quantities on some lines, and the time is limited in which to avail vourself of these matchless values J Our store will be closed all day Wednesday and Thursday, March 18 and 19, arranging and marking down for this sale Thi will be the greatest sale ever held in Tucumcari.",no,other,unclear,na,na,vague,assertive,journalist,na
39,1907 Panic,crisis,"the vinita daily chieftain (vinita, indian territory [okla.]) 1902-1913",oklahoma,1907-11-26,financial panic,http://www.loc.gov/resource/sn83025020/1907-11-26/ed-1/?sp=2,"Up on the contary, there are today m the United States nearly $100 000,000 more in currency than there were two months ago, and with the gold still to arrive from abroad and the increase in our bank circulation, which is bein made every day, and additional $100,000,000 will be doing duty within the next sixty days.",yes,general_business,improve,na,na,6,assertive,journalist,na
40,1907 Panic,crisis,"the vinita daily chieftain (vinita, indian territory [okla.]) 1902-1913",oklahoma,1907-11-26,financial panic,http://www.loc.gov/resource/sn83025020/1907-11-26/ed-1/?sp=2,"Thanks to the promptness of the Treasury officials and the urgency of our financiers, mer chants, and bankers the close of 1007 will witness as great an increase of our money volume in four months as came in three years after the panics of 1873 and 1803.",yes,general_business,improve,na,na,1,assertive,unclear,na
41,1907 Panic,crisis,"the vinita daily chieftain (vinita, indian territory [okla.]) 1902-1913",oklahoma,1907-11-26,financial panic,http://www.loc.gov/resource/sn83025020/1907-11-26/ed-1/?sp=2,"Europe gives us $75,000,000 in gold in thirty days' time, and, after giving us that great sum, by January 1, 1008 we will have more gold on hand than Europe possessed July 1, 1907.",yes,markets,improve,na,na,vague,assertive,unclear,na
42,1907 Panic,crisis,"the city itemizer (water valley, miss.) 1894-1918",mississippi,1907-12-12,financial panic,http://www.loc.gov/resource/sn87065643/1907-12-12/ed-1/?sp=1,"NU1 *___._&_- 1 __ On the 25th instant\u2014which is right over yonder, and which is too near to some of us Unprepared fel lows to bring a comfortable feeU ing\u2014Santa Claus and the Financial Panic will shake hands over the bloody Chasm \u2014Santa with a smile and Old Panic with a frown.",yes,general_business,improve,na,na,vague,hedged,journalist,na
43,1907 Panic,crisis,"the city itemizer (water valley, miss.) 1894-1918",mississippi,1907-12-12,financial panic,http://www.loc.gov/resource/sn87065643/1907-12-12/ed-1/?sp=1,"San ta, we understand, got hold of enough script somewhere to pur chase Christmas things with which to supplement the stock that could not be made at his Arctic Facto ries, and he is coming loaded, not withstanding the strengency.",no,other,unclear,na,na,vague,hedged,unclear,na
44,1907 Panic,crisis,"chariton courier (keytesville, chariton county, mo.) 1878-current",missouri,1908-01-24,financial panic,http://www.loc.gov/resource/sn88068010/1908-01-24/ed-1/?sp=4,"This is no hot air talk,but a straight business proposition and a call at our store will convince- -you that we are doing just what we say we are.",no,other,unclear,na,na,vague,unclear,unclear,na
45,1907 Panic,crisis,"bisbee daily review (bisbee, ariz.) 1901-1971",arizona,1908-04-11,financial panic,http://www.loc.gov/resource/sn84024827/1908-04-11/ed-1/?sp=4,"NSr will one bo passed \""which will gfro relief to those who are respon sible for the financial panic of last year find those who have been respon sible for all former financial panics.",no,other,unclear,na,na,vague,unclear,unclear,na
46,1907 Panic,crisis,"bisbee daily review (bisbee, ariz.) 1901-1971",arizona,1908-04-11,financial panic,http://www.loc.gov/resource/sn84024827/1908-04-11/ed-1/?sp=4,"congress cannot and will not pro vfile for tha payment of tho debts of tCo country, corporate or individual, and wo must all agree that inability td pay tho accumulated debts of the country fa what brings on panics.",no,other,unclear,na,na,vague,assertive,unclear,na
47,1907 Panic,crisis,"the birmingham age-herald (birmingham, ala.) 1902-1950",alabama,1908-04-16,financial panic,http://www.loc.gov/resource/sn85038485/1908-04-16/ed-1/?sp=9,"Germany is j reported to be bidding actively for gold In New York, and it was expected in Wall street today that gold would/1 go abroad in considerable quantities next week.",yes,markets,worsen,na,na,vague,hedged,unclear,na
48,1907 Panic,crisis,"the billings gazette (billings, mont.) 1896-1919",montana,1907-10-29,financial panic,http://www.loc.gov/resource/sn84036008/1907-10-29/ed-1/?sp=5,"COFFEE Good grocers like Schil ling's Best, for it makes good-will and not trouble in case of complaint, the money is ready.",no,other,unclear,na,na,vague,hedged,unclear,na
49,1907 Panic,crisis,"the goldfield news (goldfield, nev.) 1904-1911",nevada,1908-01-04,financial panic,http://www.loc.gov/resource/sn85058379/1908-01-04/ed-1/?sp=1,"The fo\u201d Mug number of stamps may be depended upon to be droj g daily in these eight camps before the coming of anoti- winter\u2019s snows: Coldfield Tonopch Ballfr _ Hilver !''ak Manhattan Berlin Bonnie Claire Bound Mountain 230 220 200 120 30 20 20 10 That is a -total of 850 stamps, with a daily grind on 4,250 tons, worth at only an average of $25 the ton, $106, 250 a day or $38,781,250 per annum.",yes,general_business,worsen,na,na,vague,assertive,journalist,na
50,1907 Panic,crisis,"the roswell daily record (roswell, n.m.) 1903-current",new mexico,1908-04-30,financial panic,http://www.loc.gov/resource/sn86063823/1908-04-30/ed-1/?sp=4,"With the present flattering crop prospects and a large number of con templated public improvements in view for the year, we expect a very large increase in our school enroll- ment the coming year.",no,other,unclear,na,na,vague,hedged,unclear,na
51,1907 Panic,crisis,"st. johns review (saint johns, or.) 1904-current",oregon,1907-11-01,financial panic,http://www.loc.gov/resource/sn00063676/1907-11-01/ed-1/?sp=2,"It is 11 shorter haul to Portland than to New York with the Rock Island, Milwaukee nud Northwestern toads strniiiiug t t t it every nerve to complete tueir lines to salt water, transportation fnciti ties will be improved nud Porllniu should be prepared by another year to reciprocate tlie attentions of wall sttcel mid withdraw every dollar of our money from their banks.",yes,general_business,improve,na,na,12,assertive,journalist,na
52,1907 Panic,crisis,"the hawaiian gazette (honolulu [oahu, hawaii]) 1865-1918",hawaii,1907-12-17,financial panic,http://www.loc.gov/resource/sn83025121/1907-12-17/ed-1/?sp=4,"Apart from the fall in cane Bugar,lireetly attributed to the financial panic, there has been nothing in the market for three months to dull the anticipations of good prices tho coming year.",yes,prices,improve,up,na,12,assertive,journalist,na
53,1907 Panic,crisis,"the hawaiian gazette (honolulu [oahu, hawaii]) 1865-1918",hawaii,1907-12-17,financial panic,http://www.loc.gov/resource/sn83025121/1907-12-17/ed-1/?sp=4,experts have been predicting for months it would be about this time.,yes,general_business,improve,na,na,vague,hedged,expert,na
54,1907 Panic,crisis,"the roswell daily record (roswell, n.m.) 1903-current",new mexico,1908-01-15,financial panic,http://www.loc.gov/resource/sn86063823/1908-01-15/ed-1/?sp=1,"Cole, of Big Springs, Texas, writes that he will return to Roswell within a few days to re-open the Ros well Machine Shops, which are located on South Main street.",no,other,unclear,na,na,vague,assertive,unclear,na
55,1907 Panic,crisis,"the roswell daily record (roswell, n.m.) 1903-current",new mexico,1908-01-15,financial panic,http://www.loc.gov/resource/sn86063823/1908-01-15/ed-1/?sp=1,"He also states that he is bringing a good crew of first class workmen and will be able to do tie fcest of everything in black sniithing, 263tX ONE STORE UNTOUCHED BY FINANCIAL PANIC.",no,other,unclear,na,na,vague,unclear,unclear,na
56,1907 Panic,crisis,"ottumwa tri-weekly courier (ottumwa, iowa) 1903-1916",iowa,1908-01-09,financial panic,http://www.loc.gov/resource/sn86061215/1908-01-09/ed-1/?sp=2,"COURIER THIS IS Don't Fail to Take Advantage of This Special Offer Will be Treated Until Cured for One-Half Regular Price This offer is made solely to benefit the great numbers of afflicted people who are in need of Spe cialty Treatment, but who feel they are unable to avail themselves of Specialty Skill on account of scarcity of money.",no,other,unclear,na,na,vague,hedged,unclear,na
57,1907 Panic,crisis,"ottumwa tri-weekly courier (ottumwa, iowa) 1903-1916",iowa,1908-01-09,financial panic,http://www.loc.gov/resource/sn86061215/1908-01-09/ed-1/?sp=2,"The financial panic is over, prices and business are sure to return to their former standard and in a short time money will be as plentiful as ever.",yes,general_business,improve,na,na,vague,assertive,unclear,na
58,1907 Panic,crisis,"ottumwa tri-weekly courier (ottumwa, iowa) 1903-1916",iowa,1908-01-09,financial panic,http://www.loc.gov/resource/sn86061215/1908-01-09/ed-1/?sp=2,The Special One-Half Price will more than make up for the scarcity of money and Drs.,no,other,unclear,na,na,vague,unclear,unclear,na
59,1907 Panic,crisis,"ottumwa tri-weekly courier (ottumwa, iowa) 1903-1916",iowa,1908-01-09,financial panic,http://www.loc.gov/resource/sn86061215/1908-01-09/ed-1/?sp=2,"will give you their very best skill and attention, the same as if you were paying the regular price.",no,other,unclear,na,na,vague,hedged,unclear,na
60,1907 Panic,crisis,new-york tribune (new york [n.y.]) 1866-1924,new york,1908-01-20,financial panic,http://www.loc.gov/resource/sn83030214/1908-01-20/ed-1/?sp=12,"Kercheval Wolff in the forth coming issue of \u201cAgppleton\u2019s Magazine\u201d explains the financier\u2019s great force as due to a combination of imagination, sentiment and truthfulness, Among cther things Mr.",no,other,unclear,na,na,vague,hedged,unclear,na
61,1907 Panic,crisis,"the nome nugget mining edition (nome, alaska) 19??-19??",alaska,1908-06-01,financial panic,http://www.loc.gov/resource/2018270506/1908-06-01/ed-1/?sp=31,"Last season their shipments of bullion amounted to over two and one-haif millions of dollars, and there is every indication that they will handle as much, if not more, this year.",yes,general_business,improve,na,na,vague,hedged,unclear,na
62,1907 Panic,crisis,"daily kennebec journal (augusta, me.) 1870-1975 [microfilm reel]",maine,1908-01-02,financial panic,http://www.loc.gov/resource/sn82014248/1908-01-02/ed-1/?sp=6,"The total recorded shipments of game over all railroads in .Maine show that 1907 was just 436 deer ahead of the similar figures of 1906, and tiiat despite the fact that there are re corded some 300 less out of the state hunters\u2019 licenses and a very poor sea son on account of the absence of snow, which was missing during the vital part j of the season when hunters are attract ed to Maine to hunt moose and deer by tracking them in the snow, and even, today, the woods are void of it.",no,other,unclear,na,na,vague,hedged,unclear,na
63,1907 Panic,crisis,"carlsbad current and new mexico sun (carlsbad, n.m.) 1907-1908",new mexico,1908-01-03,financial panic,http://www.loc.gov/resource/sn93061430/1908-01-03/ed-1/?sp=8,Will be the most famous Merchannlse Event ever known in Carlsbad.,no,other,unclear,na,na,vague,assertive,unclear,na
64,1907 Panic,crisis,"carlsbad current and new mexico sun (carlsbad, n.m.) 1907-1908",new mexico,1908-01-03,financial panic,http://www.loc.gov/resource/sn93061430/1908-01-03/ed-1/?sp=8,HE inauguration of our Semi-Annu- al Ked 1 ag Sale will be celebrated wilh a week of matchless offerings.,no,other,unclear,na,na,vague,hedged,unclear,na
65,1907 Panic,crisis,"carlsbad current and new mexico sun (carlsbad, n.m.) 1907-1908",new mexico,1908-01-03,financial panic,http://www.loc.gov/resource/sn93061430/1908-01-03/ed-1/?sp=8,"It will excel every past effort we have ever made, for these reasons: We bought too much goods, have had a mild sea son, and the financial panic.",no,other,unclear,na,na,vague,assertive,unclear,na
66,1907 Panic,crisis,new-york tribune (new york [n.y.]) 1866-1924,new york,1908-03-22,financial panic,http://www.loc.gov/resource/sn83030214/1908-03-22/ed-1/?sp=2,"Equality before the law is not yet a full realization, nor will it be until, among other things vet to do.",no,other,unclear,na,na,vague,hedged,unclear,na
67,1907 Panic,crisis,new-york tribune (new york [n.y.]) 1866-1924,new york,1908-03-22,financial panic,http://www.loc.gov/resource/sn83030214/1908-03-22/ed-1/?sp=2,"the interstate commerce act ia so amended that communities, as well as indi viduals, shall be denied transportation favors and rebates, and reasonable rates shall be established for all products from every fleld and range and factory of this productive country.",no,other,unclear,na,na,vague,unclear,unclear,na
68,1907 Panic,crisis,"the chickasha daily express (chickasha, indian territory [okla.]) 1899-current",oklahoma,1907-12-24,financial panic,http://www.loc.gov/resource/sn86090528/1907-12-24/ed-1/?sp=1,"BY THE SIDNEY PANIC AND BY FAILURE TO GET THE STEEL \""The financial panic and delay in getting steel has tied us up again and i it is imjwwible to gay exactly wln-n I v,e shall have trains running into this city,\"" said Dor.-et Carter, president i of the Oklahoma Cerfral railway, win) road.",no,other,unclear,na,na,vague,hedged,official,Dor.-et Carter
69,1907 Panic,crisis,"the salt lake tribune (salt lake city, utah) 1890-current",utah,1908-02-19,financial panic,http://www.loc.gov/resource/sn83045396/1908-02-19/ed-1/?sp=1,"It Is planned to organise with a capital of 5350,000 and thc new bank will take over tho 'business of the defunct Capital otato bank.",no,other,unclear,na,na,vague,assertive,unclear,na
70,1907 Panic,crisis,"the salt lake tribune (salt lake city, utah) 1890-current",utah,1908-02-19,financial panic,http://www.loc.gov/resource/sn83045396/1908-02-19/ed-1/?sp=1,It is hoped to open soon and the depositors of the Capital Stato will be paid in full.,no,other,unclear,na,na,vague,hedged,unclear,na
71,1907 Panic,crisis,"the carlisle independent (carlisle, ark.) 1905-current",arkansas,1908-02-06,financial panic,http://www.loc.gov/resource/sn92050006/1908-02-06/ed-1/?sp=5,"NICHOLS THE LEADER IN LOW PRICES AND TRUE MERCHANDISE VALUES Owing to the financial panic during the fall season, thereby causing trade to be considerably curtailed, we have a stock of STRICTLY SEASONABLE MERCHANDISE that we will give great cuts in, in order to make room for our spring stock wnich will soon begin to arrive.",no,other,unclear,na,na,vague,assertive,journalist,na
