claim_id,episode,kind,publisher,state,date,search_term,page_url,quote,topic,price_direction,unemployment_direction,horizon_months,confidence,voice,speaker_name,direction,is_prediction,months,predicted_label,realized_label,basis,hit,brier
29,1907 Panic,crisis,"the wisconsin tobacco reporter (edgerton, wis.) 1877-1950",wisconsin,1908-01-17,financial panic,http://www.loc.gov/resource/sn86086586/1908-01-17/ed-1/?sp=1,"Fully 85 per cent, of this falling off, however, took place during the last quarter of the year, and may in a large measure be put down to the financial panic, a more or less ac cidental condition, which, there is rea son to hope, will not recur.\u2014Journal.",general_business,na,na,12,hedged,unclear,na,worsen,yes,12,worsen,improve,NBER,0,0.48999999999999994
30,1907 Panic,crisis,"the wisconsin tobacco reporter (edgerton, wis.) 1877-1950",wisconsin,1908-01-17,financial panic,http://www.loc.gov/resource/sn86086586/1908-01-17/ed-1/?sp=1,"The trade will undoubtedly be grati fied to learn that the output of our cigar industry for the year just passed, that is 1907, in the dominating cigar manufact uring districts escaped the severer con sequences of the recent financial panic with just a black eye.",general_business,na,na,12,hedged,unclear,na,worsen,yes,12,worsen,improve,NBER,0,0.48999999999999994
32,1907 Panic,crisis,"the commonwealth (scotland neck, n.c.) 1896-1929",north carolina,1907-10-17,business outlook,http://www.loc.gov/resource/sn92073908/1907-10-17/ed-1/?sp=4,"In a recent issue it says: \""The business outlook improves as the autumn season opens.",general_business,na,na,12,hedged,unclear,na,improve,yes,12,improve,improve,NBER,1,0.09000000000000002
33,1907 Panic,crisis,"the morning astorian (astoria, oregon) 1899-1930",oregon,1907-10-23,business outlook,http://www.loc.gov/resource/sn85042400/1907-10-23/ed-1/?sp=3,"\""Even under present conditions the business outlook appears to me to be bright.\"" I \""Business conditions on the whole ap pear to me personally, to be very good, said Charles A.",general_business,na,na,12,hedged,unclear,na,improve,yes,12,improve,improve,NBER,1,0.09000000000000002
34,1907 Panic,crisis,"the morning astorian (astoria, oregon) 1899-1930",oregon,1907-10-23,business outlook,http://www.loc.gov/resource/sn85042400/1907-10-23/ed-1/?sp=3,I can see no reason to be lieve there will be a panic in the future.,general_business,na,na,12,hedged,unclear,na,worsen,yes,12,worsen,improve,NBER,0,0.48999999999999994
35,1907 Panic,crisis,"the morning astorian (astoria, oregon) 1899-1930",oregon,1907-10-23,business outlook,http://www.loc.gov/resource/sn85042400/1907-10-23/ed-1/?sp=3,"The business outlook, as I see it, is bright save for the money tightness of which I spoke and I believe that this is a temporary condition.\"" WILL CARRY MANY CHARTS.",general_business,na,na,12,hedged,unclear,na,improve,yes,12,improve,improve,NBER,1,0.09000000000000002
38,1907 Panic,crisis,"crittenden record=press (marion, ky.) 1907-1909",kentucky,1908-03-05,business outlook,http://www.loc.gov/resource/sn86069458/1908-03-05/ed-1/?sp=5,"Hut as regards other investments great discrimination is exercised, and the uncertainties existing over the political and business outlook tends to a lack of confidence.",general_business,na,na,12,hedged,unclear,na,improve,yes,12,improve,improve,NBER,1,0.09000000000000002
39,1907 Panic,crisis,the washington times (washington [d.c.]) 1902-1939,district of columbia,1908-01-19,business outlook,http://www.loc.gov/resource/sn84026749/1908-01-19/ed-1/?sp=6,He unhesi tatingly answered the query as to the business outlook for the merchant for the year with the statement that no rezson cxisted for a belief in any o\u2019her than a bright future.,general_business,na,na,12,hedged,unclear,na,improve,yes,12,improve,improve,NBER,1,0.09000000000000002
40,1907 Panic,crisis,the washington times (washington [d.c.]) 1902-1939,district of columbia,1908-01-19,business outlook,http://www.loc.gov/resource/sn84026749/1908-01-19/ed-1/?sp=6,IT see no reason for any but bright view of the coming year.\u201d Kann Sees Reason To Keep Expanding The confidence of 8.,general_business,na,na,12,hedged,unclear,na,improve,yes,12,improve,improve,NBER,1,0.09000000000000002
46,1907 Panic,crisis,"the wallace miner (wallace, idaho) 1907-current",idaho,1907-10-17,business outlook,http://www.loc.gov/resource/sn85007266/1907-10-17/ed-1/?sp=2,I If the business outlook is hot so bright as it was it is largely their own fault.,general_business,na,na,12,hedged,unclear,na,improve,yes,12,improve,improve,NBER,1,0.09000000000000002
50,1907 Panic,crisis,"the washington herald (washington, d.c.) 1906-1939",district of columbia,1908-04-05,business outlook,http://www.loc.gov/resource/sn83045433/1908-04-05/ed-1/?sp=31,"We are glad of last yeer, shows that we are prosperin face of a poorer business outlook than respectful citizens has begun, in the This building enterprise wich our most boom wich Bingville has ahead of it.",general_business,na,na,12,hedged,unclear,na,improve,yes,12,improve,improve,NBER,1,0.09000000000000002
52,1907 Panic,crisis,"the richmond palladium and sun-telegram (richmond, ind.) 1907-1939",indiana,1907-10-06,business outlook,http://www.loc.gov/resource/sn86058226/1907-10-06/ed-1/?sp=4,"It is to the interest of some specula tors to make the public and the other speculators believe that the business outlook Is dark, and that the condi tions will be still worse three or six months hence.",general_business,na,na,12,hedged,unclear,na,worsen,yes,12,worsen,improve,NBER,0,0.48999999999999994
54,1907 Panic,crisis,the washington times (washington [d.c.]) 1902-1939,district of columbia,1908-05-17,business outlook,http://www.loc.gov/resource/sn84026749/1908-05-17/ed-1/?sp=5,"The people are geiling back to a calmer frame, confidence that the courts will protect rights and inter ests and persons has been inspired by Some recent decisions.",general_business,na,na,12,hedged,unclear,na,improve,yes,12,improve,improve,NBER,1,0.09000000000000002
55,1907 Panic,crisis,the washington times (washington [d.c.]) 1902-1939,district of columbia,1908-05-17,business outlook,http://www.loc.gov/resource/sn84026749/1908-05-17/ed-1/?sp=5,"|E PAE |E O58 We are getting \""back to better condi tions \u201cThe business outlook?",general_business,na,na,12,hedged,unclear,na,improve,yes,12,improve,improve,NBER,1,0.09000000000000002
59,1907 Panic,crisis,"evening star (washington, d.c.) 1854-1972",district of columbia,1907-11-23,business outlook,http://www.loc.gov/resource/sn83045462/1907-11-23/ed-1/?sp=21,"4 NEW YORK, November 23.-Several railroad presidents who have just returned to this city from the west expressed hope ful views of the business outlook In the west, while admitting that tho disturb ances through which the country is pass ing must of necessity be reflected in a falling off in railroad earnings.",general_business,na,na,12,hedged,unclear,na,worsen,yes,12,worsen,improve,NBER,0,0.48999999999999994
61,1907 Panic,crisis,the san francisco call (san francisco [calif.]) 1895-1913,california,1908-05-17,business outlook,http://www.loc.gov/resource/sn85066387/1908-05-17/ed-1/?sp=25,"FIRST NEWS SECTION PROSPERITY ON ITS WAY BACK, SAYS HARRIMAN Declares Business Outlook Is Excellent and Crops All Good Says There Has Been Too Much Unrest Among the Whole People Asserts He Is Out of Politics.",general_business,na,na,12,hedged,unclear,na,improve,yes,12,improve,improve,NBER,1,0.09000000000000002
67,1907 Panic,crisis,"the salt lake tribune (salt lake city, utah) 1890-current",utah,1907-12-30,business outlook,http://www.loc.gov/resource/sn83045396/1907-12-30/ed-1/?sp=7,"inUar?,Ly0Ur,OWn 1,01,1 1,1 ,r Prlvatti 0tstr., Latest dellrnclea t f \""cstr'1 Every Ariernaon and Kvan- t 1 OUTLOOK FOR 1908- IS BRIGHT AT 0GD.EN Special to The Tribune.",general_business,na,na,12,hedged,unclear,na,improve,yes,12,improve,improve,NBER,1,0.09000000000000002
69,1907 Panic,crisis,"the salt lake tribune (salt lake city, utah) 1890-current",utah,1907-12-30,business outlook,http://www.loc.gov/resource/sn83045396/1907-12-30/ed-1/?sp=7,"The railroad companies arc contemplat ing a number of Improvements during the spring, which will give employment J to a large number of laborers.",general_business,na,na,12,hedged,unclear,na,improve,yes,12,improve,improve,NBER,1,0.09000000000000002
85,1907 Panic,crisis,"the montgomery advertiser (montgomery, ala.) 1885-1982",alabama,1908-03-02,return of prosperity,http://www.loc.gov/resource/sn84020645/1908-03-02/ed-1/?sp=1,Official* Who Were Heard la Wash ington Unite ia Oplelon That Return of Prosperity Will Be Sadden.,general_business,na,na,12,hedged,unclear,na,improve,yes,12,improve,improve,NBER,1,0.09000000000000002
87,1907 Panic,crisis,"the montgomery advertiser (montgomery, ala.) 1885-1982",alabama,1908-03-02,return of prosperity,http://www.loc.gov/resource/sn84020645/1908-03-02/ed-1/?sp=1,"They practically uniformly express confidence that the return of prosperity will be almost as sudden as the com Tnm of adversity, an* In their argu ments as to the enforcement of the nine-hour law they pointed \""\""\u2018/pro*!",general_business,na,na,12,hedged,unclear,na,improve,yes,12,improve,improve,NBER,1,0.09000000000000002
88,1907 Panic,crisis,"the caucasian (clinton, n.c.) 188?-1913",north carolina,1908-03-05,return of prosperity,http://www.loc.gov/resource/sn91068245/1908-03-05/ed-1/?sp=1,"They practically uniformly express confi dence that the return of prosperity will be almost as sudden as was the coming of adversity and in their ar guments as to the enforcement of the nine-hour law they pointed out to the commission that such a return of prosperity might seriously embarrass them in complying with the law, be cause it would render it difficult to command the services of competent operators in sufficient numbers to meet the needs of prosperous condi tions.",general_business,na,na,12,hedged,unclear,na,improve,yes,12,improve,improve,NBER,1,0.09000000000000002
89,1907 Panic,crisis,"st. tammany farmer (covington, la.) 1874-current",louisiana,1908-03-07,return of prosperity,http://www.loc.gov/resource/sn82015387/1908-03-07/ed-1/?sp=1,"They practically uniformly ex press confidence that the return of prosperity will be almost as sudden as the coming adversity, and in their arguments as to the enforcement of the nine-hour law, they pointed out to the Commiasion that such a return of prosperity might embarrass them in complying with the law because, it would render it difficult %o command the services of competent operators in sufficient numbers to meet the needs of prosperous conditions.",general_business,na,na,12,hedged,unclear,na,improve,yes,12,improve,improve,NBER,1,0.09000000000000002
91,1907 Panic,crisis,new-york tribune (new york [n.y.]) 1866-1924,new york,1908-05-11,return of prosperity,http://www.loc.gov/resource/sn83030214/1908-05-11/ed-1/?sp=8,he two great uncertainties the favorable res olution of which will most powerfully eon tribute to the full restoration of confidence and the relatively speedy return of prosperity are the crops and the Presidential election.,general_business,na,na,12,hedged,unclear,na,improve,yes,12,improve,improve,NBER,1,0.09000000000000002
93,1907 Panic,crisis,new-york tribune (new york [n.y.]) 1866-1924,new york,1908-05-11,return of prosperity,http://www.loc.gov/resource/sn83030214/1908-05-11/ed-1/?sp=8,he two great uncertainties the favorable res olution of which will most powerfully econ tribute to the full restoration of confidence and the relatively speedy return of prosperity are the crops and the Presidential election.,general_business,na,na,12,hedged,unclear,na,improve,yes,12,improve,improve,NBER,1,0.09000000000000002
95,1907 Panic,crisis,waterbury evening democrat (waterbury [connecticut]) 1903-1917,connecticut,1908-05-02,return of prosperity,http://www.loc.gov/resource/sn93053726/1908-05-02/ed-1/?sp=9,"We are confident that if the business men of the United States join in the St Louis movement prosperity will be at full tide before the end of the year and that 1!K)9 will be the best business year our country has known.\"" Chairman Simmons said: \""We have formed a business organi sation having for its object the encour agement of a return of prosperity sooner than might otherwise occur without help.",general_business,na,na,12,hedged,unclear,na,improve,yes,12,improve,improve,NBER,1,0.09000000000000002
99,1907 Panic,crisis,"perth amboy evening news (perth amboy, n.j.) 1903-1959",new jersey,1908-05-02,return of prosperity,http://www.loc.gov/resource/sn85035720/1908-05-02/ed-2/?sp=2,"Coule movement prosperity will be at full tide before the end of the yeai and that 1009 will be the best business year our country has known.\"" Chairman Simmons said: \""We have formed a business organi sation having for its object the encour agement of a return of prosperity lopner than might otherwise occui without help.",general_business,na,na,12,hedged,unclear,na,improve,yes,12,improve,improve,NBER,1,0.09000000000000002
100,1907 Panic,crisis,"edgefield advertiser (edgefield, s.c.) 1836-current",south carolina,1908-03-04,return of prosperity,http://www.loc.gov/resource/sn84026897/1908-03-04/ed-1/?sp=1,They practically uniformly express confi dence that the return of prosperity' will be almost as sudden as was the coming of adversity and in their ar guments as to the enforcement of the nine-hour law they pointed out to the commission that such a.,general_business,na,na,12,hedged,unclear,na,improve,yes,12,improve,improve,NBER,1,0.09000000000000002
109,1920 Depression,crisis,"roanoke rapids herald (roanoke rapids, n.c.) 1914-192?",north carolina,1920-12-24,business depression,http://www.loc.gov/resource/sn91068748/1920-12-24/ed-1/?sp=4,"Since retrogressive sentiment cannot claim that the state is financially disabled, nor that it is opposed to progress, we are curious to know what will be the excuse it will offer for its fight Business depression, perhaps.",general_business,na,na,12,hedged,unclear,na,worsen,yes,12,worsen,no_change,INDPRO,0,0.48999999999999994
110,1920 Depression,crisis,"the milwaukee leader (milwaukee, wis.) 1911-1938",wisconsin,1920-10-26,business depression,http://www.loc.gov/resource/sn83045293/1920-10-26/ed-1/?sp=1,We expect that there will be a let up in the present high cost of money after Christmai and with it will come an easing of the present depression.,general_business,na,na,12,hedged,unclear,na,worsen,yes,12,worsen,worsen,INDPRO,1,0.09000000000000002
111,1920 Depression,crisis,"the milwaukee leader (milwaukee, wis.) 1911-1938",wisconsin,1920-10-26,business depression,http://www.loc.gov/resource/sn83045293/1920-10-26/ed-1/?sp=1,"s \""There is no chance for a finan* cial panic but business may suffei to a great extent before the adjust* ment will be completed.",general_business,na,na,12,hedged,unclear,na,worsen,yes,12,worsen,worsen,INDPRO,1,0.09000000000000002
112,1920 Depression,crisis,"the milwaukee leader (milwaukee, wis.) 1911-1938",wisconsin,1920-10-26,business depression,http://www.loc.gov/resource/sn83045293/1920-10-26/ed-1/?sp=1,"No one can say what time will pass before the business and financial world will again be stable hut we are hoping that it will be within a brief peri* od.\u201d There is no chance, for a panic to develop from the present business depression according to G.",general_business,na,na,12,hedged,unclear,na,worsen,yes,12,worsen,worsen,INDPRO,1,0.09000000000000002
113,1920 Depression,crisis,"the milwaukee leader (milwaukee, wis.) 1911-1938",wisconsin,1920-10-26,business depression,http://www.loc.gov/resource/sn83045293/1920-10-26/ed-1/?sp=1,"Said Weigle: The present start in the way of depression may de velop great momentum and cause many failures in business, but the federal reserve system will save the banks from any financial dis aster or panic.",general_business,na,na,12,hedged,unclear,na,worsen,yes,12,worsen,worsen,INDPRO,1,0.09000000000000002
115,1920 Depression,crisis,"the milwaukee leader (milwaukee, wis.) 1911-1938",wisconsin,1920-10-26,business depression,http://www.loc.gov/resource/sn83045293/1920-10-26/ed-1/?sp=1,The business depression is sure ly coming on us.,general_business,na,na,12,hedged,unclear,na,worsen,yes,12,worsen,worsen,INDPRO,1,0.09000000000000002
119,1920 Depression,crisis,"the chickasha daily express (chickasha, indian territory [okla.]) 1899-current",oklahoma,1920-11-27,business depression,http://www.loc.gov/resource/sn86090528/1920-11-27/ed-1/?sp=4,Put the action of the banks in doing that only hastened the coming of the business depression the country now feels.,general_business,na,na,12,hedged,unclear,na,worsen,yes,12,worsen,worsen,INDPRO,1,0.09000000000000002
123,1920 Depression,crisis,"the ogden standard-examiner (ogden, utah) 1920-current",utah,1921-03-17,business depression,http://www.loc.gov/resource/sn85058393/1921-03-17/ed-1/?sp=4,"j Once the country starts to mend in I dustrially, the recovery will be rapid No one is in better position than the president to get first hand information as to what big business thinks of the1 J .financial and Industrial outlook, and If the captains of Industry see day E light ahead, there is reason to look I for brighter days.",general_business,na,na,12,hedged,unclear,na,improve,yes,12,improve,improve,INDPRO,1,0.09000000000000002
129,1920 Depression,crisis,"the birmingham age-herald (birmingham, ala.) 1902-1950",alabama,1921-03-05,business depression,http://www.loc.gov/resource/sn85038485/1921-03-05/ed-1/?sp=9,"SCHWAB, New York, Chairman of Board, BetWTBhem Steel Corporation: \u201cOut of the present business depression there will come a sounder basis for the nation's activities and busineas will go forward with a buoy ancy and force we have never known before, aa a result of reorganization.",general_business,na,na,12,hedged,unclear,na,worsen,yes,12,worsen,improve,INDPRO,0,0.48999999999999994
130,1920 Depression,crisis,"the birmingham age-herald (birmingham, ala.) 1902-1950",alabama,1921-03-05,business depression,http://www.loc.gov/resource/sn85038485/1921-03-05/ed-1/?sp=9,"The whole world has been thrown into a near panic and we have suffered business depression, and matters have been made infinitely worse by \u2018\u2018calamity howlers,\u201d out our troubles are largely phsycoiogicaL What we need is confidence and con servative optimism, coupled with the de termination to go ahead.",general_business,na,na,12,hedged,unclear,na,worsen,yes,12,worsen,improve,INDPRO,0,0.48999999999999994
133,1920 Depression,crisis,"newark leader ([newark, ohio]) 1917-1946",ohio,1920-10-29,business depression,http://www.loc.gov/resource/sn88078775/1920-10-29/ed-1/?sp=2,General revision of working and wage agreements \u201cnecessitated by business depression and a prediction of lower prices\u201d is sought by the Clothing Manufacturers\u2019 association of New York in proposals adopted for presen tation to the Amalgamated Clothing Workers\u2019 uuion.,general_business,na,na,12,hedged,unclear,na,worsen,yes,12,worsen,worsen,INDPRO,1,0.09000000000000002
135,1920 Depression,crisis,"the courier-index (marianna, ark.) 1917-current",arkansas,1920-07-16,business depression,http://www.loc.gov/resource/sn89051338/1920-07-16/ed-1/?sp=7,"And here, I think, we get the real answer: We shall have a CLARIFYING of industrial relations, a STRAIGHTENING-OUT of commodity values, and per haps of trading prices and profit ratios\u2014but a panic, a business depression, a period of radical commercial curtailment, NO!",general_business,na,na,12,hedged,unclear,na,worsen,yes,12,worsen,worsen,INDPRO,1,0.09000000000000002
140,1920 Depression,crisis,"the beatrice daily express (beatrice, neb.) 1884-1924",nebraska,1921-01-01,business depression,http://www.loc.gov/resource/sn84020107/1921-01-01/ed-1/?sp=1,If true the forecast means an end of unemployment now involving hundreds of thousands of workers.,general_business,na,na,12,hedged,unclear,na,worsen,yes,12,worsen,improve,INDPRO,0,0.48999999999999994
142,1920 Depression,crisis,"the beatrice daily express (beatrice, neb.) 1884-1924",nebraska,1921-01-01,business depression,http://www.loc.gov/resource/sn84020107/1921-01-01/ed-1/?sp=1,"\""Business depression will disap pear within a few weeks if manu facturers and retail dealers will give up the idea that they can cling to war prices,\u201d he said.",general_business,na,na,12,hedged,unclear,na,worsen,yes,12,worsen,improve,INDPRO,0,0.48999999999999994
147,1920 Depression,crisis,"east st. louis daily journal (east st. louis, ill.) 1918-1932",illinois,1921-01-02,business depression,http://www.loc.gov/resource/sn92053739/1921-01-02/ed-1/?sp=1,"Louis, because of the widely diversified lines of essential industry, is expected by heads of several of the largest plants to struggle free from the grip of business depression before many weeks.",general_business,na,na,12,hedged,unclear,na,worsen,yes,12,worsen,improve,INDPRO,0,0.48999999999999994
148,1920 Depression,crisis,"east st. louis daily journal (east st. louis, ill.) 1918-1932",illinois,1921-01-02,business depression,http://www.loc.gov/resource/sn92053739/1921-01-02/ed-1/?sp=1,"4 Thia, according to government of ficial* in the treasury, agriculture and labor departments, is the fore cast for 1921 If true, the forecast means an end of unemployment now involving thousands of workers stabilising prices and perhaps lower ones for the consumer.",general_business,na,na,12,hedged,unclear,na,worsen,yes,12,worsen,improve,INDPRO,0,0.48999999999999994
150,1920 Depression,crisis,"east st. louis daily journal (east st. louis, ill.) 1918-1932",illinois,1921-01-02,business depression,http://www.loc.gov/resource/sn92053739/1921-01-02/ed-1/?sp=1,"If prices were reduced to a reasonable point there would be a new rush of buyers which would turn every factory wheel la country and blot out unemployn almost immediately.\"" The optimistic prediction* of ernment officials and business for prosperity in the spring mi based on factors now developing.1 Some of the optimistic faetors ce these: e l\u2014Government receipts from n ury taxes have fallen far below a figures of a year ago, indicating t public has ended extravagant bow ing for all time.",general_business,na,na,12,hedged,unclear,na,worsen,yes,12,worsen,improve,INDPRO,0,0.48999999999999994
153,1920 Depression,crisis,"the hayti herald (hayti, mo.) 1908-1922",missouri,1921-01-20,business depression,http://www.loc.gov/resource/sn89066651/1921-01-20/ed-1/?sp=3,"In its effects, to date, upon the cotton belt our present business depression is not un like the panic of 1893, and it is fair to assume that history will repeat itself, ie., that the cotton acreage will naturally increase materially, due to the supply of labor, and without any regard whatever for the surplus now on hand or that we aie due for perhaps five years of stagnated over-production.",general_business,na,na,12,hedged,unclear,na,worsen,yes,12,worsen,improve,INDPRO,0,0.48999999999999994
154,1920 Depression,crisis,"the hayti herald (hayti, mo.) 1908-1922",missouri,1921-01-20,business depression,http://www.loc.gov/resource/sn89066651/1921-01-20/ed-1/?sp=3,"Unless we want to take the lowest price for cotton, next fall, this country has ever seen we must plan for the smallest crop since the civil war.",general_business,na,na,12,hedged,unclear,na,worsen,yes,12,worsen,improve,INDPRO,0,0.48999999999999994
157,1920 Depression,crisis,"the presbyterian of the south : [combining the] southwestern presbyterian, central presbyterian, southern presbyterian (",georgia; virginia,1921-02-09,business depression,http://www.loc.gov/resource/10021978/1921-02-09/ed-1/?sp=2,There is difference of opinion as to the reason for this depression and also as to the length of time it will con tinue.,general_business,na,na,12,hedged,unclear,na,worsen,yes,12,worsen,improve,INDPRO,0,0.48999999999999994
158,1920 Depression,crisis,"the presbyterian of the south : [combining the] southwestern presbyterian, central presbyterian, southern presbyterian (",georgia; virginia,1921-02-09,business depression,http://www.loc.gov/resource/10021978/1921-02-09/ed-1/?sp=2,An examination of these various pro posals will show that almost all of them have little or no value as a remedy for the existing business depression.,general_business,na,na,12,hedged,unclear,na,worsen,yes,12,worsen,improve,INDPRO,0,0.48999999999999994
160,1920 Depression,crisis,"the new york herald (new york, n.y.) 1920-1924",new york,1921-01-23,business depression,http://www.loc.gov/resource/sn83045774/1921-01-23/ed-1/?sp=24,"So I cannot concur in your statement that \""Obviously then the thrift program cannot help us out of the situation.\"" We who are advocating Thrift as a cure for our troubles cannot undertake to have cither labor or the hanks conduct themselves *to your liking, but we will gladly Join with you to Induce the hanks or labor to do that which Is best for our country as a whole, believing In this v.ill prosper more wilh n thoroughly wound oon*111Ion of the country throughout than by having route selfish advantage over others through what may prove a period of great business depression.",general_business,na,na,12,hedged,unclear,na,worsen,yes,12,worsen,improve,INDPRO,0,0.48999999999999994
168,1920 Depression,crisis,"the evening herald (albuquerque, n.m.) 1914-1922",new mexico,1920-12-31,business outlook,http://www.loc.gov/resource/sn92070582/1920-12-31/ed-1/?sp=3,"i In the meantime, firm in our faith in the business outlook, and equally firm in our confidence in the sound basit of our new policy of volume business and harrowed margins of profit, we have bought generously for 1921; every de partment has been served upon the basis of a notable in crease in the demands upon it, and the prices at which the merchandise will be offered, will insure that increase in the demands.",general_business,na,na,12,hedged,unclear,na,improve,yes,12,improve,no_change,INDPRO,0,0.48999999999999994
175,1920 Depression,crisis,"the tri-county news (grand rapids, ohio) 1915-1949",ohio,1921-01-19,business outlook,http://www.loc.gov/resource/sn89075140/1921-01-19/ed-1/?sp=7,The Business Outlook MORE FACTORIES REOPEN\u2014COMMENT OPTIMIS TIC NEW YORK SHOW FORETELLS REVIVAL IN THE AUTOMOBILE INDUSTRY.,general_business,na,na,12,hedged,unclear,na,improve,yes,12,improve,improve,INDPRO,1,0.09000000000000002
181,1920 Depression,crisis,"the mt. sterling advocate (mt. sterling, ky.) 1890-current",kentucky,1920-12-21,business outlook,http://www.loc.gov/resource/sn86069675/1920-12-21/ed-1/?sp=3,"Our agricultural, manufacturing and mineral products 'and th'o facilities for utilizing all of them to the best ndvantngo aro rap idly increasing and, on the average, have renched a now high point.\"" In expressing great confidence in tho general business outlook, Judge Gary ndded: \""Wo have renson to beliovo that herenftef thero will be close co operation between business and the governmental authorities.",general_business,na,na,12,hedged,unclear,na,improve,yes,12,improve,no_change,INDPRO,0,0.48999999999999994
182,1920 Depression,crisis,"the mt. sterling advocate (mt. sterling, ky.) 1890-current",kentucky,1920-12-21,business outlook,http://www.loc.gov/resource/sn86069675/1920-12-21/ed-1/?sp=3,"Indeed, nt no time in tho history of this coun try hns tho outlook in this respect been better.",general_business,na,na,12,hedged,unclear,na,improve,yes,12,improve,no_change,INDPRO,0,0.48999999999999994
