quote,topic,direction,price_direction,unemployment_direction,horizon_months,confidence,voice,speaker_name,scope,is_quoted_forecaster,conditional_on,page_id,date,publisher,source_text_type,predicted_norm,realized,basis,hit,scorable,unscorable_reason,horizon_used,horizon_basis
"Though the senate and house had yet to compromise their differences, John Q. Public could look forward to substantial reductions in income taxes in 1946, and American business was assured generous relief for the immediate postwar period.",general_business,improve,na,na,12,assertive,journalist,na,national,False,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945110801/0153.xml,1945-11-08,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,improve,improve,INDPRO,1.0,True,,12.0,stated
Huge Postwar Market for Autos Looms,markets,improve,na,na,vague,assertive,journalist,na,industry,False,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945110801/0153.xml,1945-11-08,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,improve,,,,False,scope=industry (not US national),,
"Potential demand for automobiles by domestic consumers next year should amount to 9.643.000 cars, after allowing for 331.000 cars to meet the increase in population, says the Alexander Hamilton institute.",markets,improve,na,na,12,hedged,expert,Alexander Hamilton institute,industry,True,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945110801/0153.xml,1945-11-08,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,improve,,,,False,scope=industry (not US national),,
G.I.s and civilians alike are assured of ample supplies of turkeys for the Thanksgiving and Christmas holidays even though the size of birds may be smaller than usual due to growers’ speeding up production upon government demand,markets,improve,na,na,vague,assertive,journalist,na,industry,False,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945110801/0153.xml,1945-11-08,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,improve,,,,False,scope=industry (not US national),,
There won’t be enough oysters this year to supply the demand.,markets,worsen,na,na,vague,assertive,journalist,Baukhage,industry,False,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945110801/0153.xml,1945-11-08,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,worsen,,,,False,scope=industry (not US national),,
"With foreign countries expected to possess 30 billion dollars in ex- pe idable assets by the end of 1945, possibilities for a heavy postwar American export trade loom large",general_business,improve,na,na,vague,hedged,expert,na,national,True,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945112201/0169.xml,1945-11-22,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,improve,improve,INDPRO,1.0,True,,12.0,default
"With no over-all decrease in out- put expected before 1947, the USDA reportedly will ask for maintenance of current corn and wheat acreage, appreciable increases for sugar beets and cotton, expansion in cover crops and pasture, a slight de- crease for potatoes and sharp reduc- tions for soybeans and flaxseed.",general_business,no_change,na,na,12,hedged,official,na,industry,True,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945112201/0169.xml,1945-11-22,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,flat,,,,False,scope=industry (not US national),,
"At the all-time top of 123 billion pounds, milk production is considered too high and a drop of 5 billion pounds may be in the offing for next year.",general_business,worsen,na,na,12,hedged,official,na,industry,True,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945112201/0169.xml,1945-11-22,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,worsen,,,,False,scope=industry (not US national),,
That means that about eight million persons will be thrown on the labor market in this second wave which will come as a result of the end of the war.,employment,worsen,na,up,12,assertive,journalist,Baukhage,national,False,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945122001/0198.xml,1945-12-20,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,up,,no UNRATE before 1948 / outside coverage,,False,no UNRATE before 1948 / outside coverage,12.0,stated
As nearly as can be judged. So cial Security officials see a crisis by 1947 if there are not enough jobs.,general_business,worsen,na,up,vague,hedged,official,na,national,True,if there are not enough jobs,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945122001/0198.xml,1945-12-20,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,worsen,improve,INDPRO,0.0,True,,12.0,default
"H. S. Loy, local manager of Leggett’s, was very optimistic over the prospects for their January Sale, as well as the business outlook as a whole for the year 1938, when interviewed the first of the week.",general_business,improve,na,na,12,hedged,expert,H. S. Loy,regional,True,na,/service/ndnp/ncu/batch_ncu_juniper_ver01/data/2017236974/00279559009/1938012001/0084.xml,1938-01-20,"roanoke rapids herald (roanoke rapids, n.c.) 1931-1948",full_page,improve,,,,False,scope=regional (not US national),,
"More— In Benefits could be paid from the North Carolina fund without endangering its solvency in the postwar period, when the unem ployed may face more than 16 weeks without employment.",employment,worsen,na,up,vague,hedged,official,na,regional,True,na,/service/ndnp/ncu/batch_ncu_kale_ver01/data/2017236974/00279558078/1945083001/0780.xml,1945-08-30,"roanoke rapids herald (roanoke rapids, n.c.) 1931-1948",full_page,up,,,,False,scope=regional (not US national),,
Europe today is hungry As winter comes on the distress will increase.,general_business,worsen,na,na,6,assertive,official,President Truman,foreign,True,na,/service/ndnp/ncu/batch_ncu_kale_ver01/data/2017236974/00279558078/1945083001/0774.xml,1945-08-30,"roanoke rapids herald (roanoke rapids, n.c.) 1931-1948",full_page,worsen,,,,False,scope=foreign (not US national),,
"North Carolina un employment insurance funds of over $105,000,000 is expected to pro ve a strong defense against econo mic upset, both for the community and for those workers who may be laid off.",general_business,improve,na,na,vague,hedged,official,na,regional,True,na,/service/ndnp/ncu/batch_ncu_kale_ver01/data/2017236974/00279558078/1945092001/0857.xml,1945-09-20,"roanoke rapids herald (roanoke rapids, n.c.) 1931-1948",full_page,improve,,,,False,scope=regional (not US national),,
"In the readjust ment period ahead, the figures are expected to rise.",employment,worsen,na,up,vague,hedged,official,na,regional,True,na,/service/ndnp/ncu/batch_ncu_kale_ver01/data/2017236974/00279558078/1945092001/0857.xml,1945-09-20,"roanoke rapids herald (roanoke rapids, n.c.) 1931-1948",full_page,up,,,,False,scope=regional (not US national),,
It will be a difficult period for most industries.,general_business,worsen,na,na,vague,assertive,journalist,na,national,False,na,/service/ndnp/ncu/batch_ncu_kale_ver01/data/2017236974/00279558078/1945112901/1102.xml,1945-11-29,"roanoke rapids herald (roanoke rapids, n.c.) 1931-1948",full_page,worsen,improve,INDPRO,0.0,True,,12.0,default
Chief among postwar changes in retailing will be the increase in competition as we settle back into normal peacetime living.,general_business,unclear,na,na,vague,assertive,journalist,na,industry,False,na,/service/ndnp/ncu/batch_ncu_kale_ver01/data/2017236974/00279558078/1945112901/1102.xml,1945-11-29,"roanoke rapids herald (roanoke rapids, n.c.) 1931-1948",full_page,,,,,False,scope=industry (not US national),,
"Only the enterprising, progressive and alert retailers will survive to enjoy the prosperity which competent operation in peacetime brings.",general_business,improve,na,na,vague,assertive,journalist,na,industry,False,na,/service/ndnp/ncu/batch_ncu_kale_ver01/data/2017236974/00279558078/1945112901/1102.xml,1945-11-29,"roanoke rapids herald (roanoke rapids, n.c.) 1931-1948",full_page,improve,,,,False,scope=industry (not US national),,
"there is every indication that they will handle as much, if not more, this year.",general_business,improve,na,na,12,hedged,journalist,na,regional,False,na,/service/ndnp/ak/batch_ak_iceworm_ver02/data/2018270506/0027952696A/1908060101/0042.xml,1908-06-01,"the nome nugget mining edition (nome, alaska) 19??-19??",full_page,improve,,,,False,scope=regional (not US national),,
There will still be a .greater demand in the years ahead of us.,markets,improve,na,na,vague,assertive,journalist,na,regional,False,na,/service/ndnp/gu/batch_gu_grouch_ver01/data/2022239691/00517010340/1923091701/0305.xml,1923-09-17,"the cordele dispatch and daily sentinel (cordele, georgia) 1920-1926",full_page,improve,,,,False,scope=regional (not US national),,
The creamery success will come from dairy development in Thomas coun ty.,general_business,improve,na,na,vague,assertive,journalist,na,regional,False,dairy development in Thomas county,/service/ndnp/gu/batch_gu_grouch_ver01/data/2022239691/00517010340/1923091701/0305.xml,1923-09-17,"the cordele dispatch and daily sentinel (cordele, georgia) 1920-1926",full_page,improve,,,,False,scope=regional (not US national),,
"Then south Georgia will prosper even faster than it has un~ der all other intensified methods,",general_business,improve,na,na,vague,assertive,journalist,na,regional,False,towns having creameries and dairy interests,/service/ndnp/gu/batch_gu_grouch_ver01/data/2022239691/00517010340/1923091701/0305.xml,1923-09-17,"the cordele dispatch and daily sentinel (cordele, georgia) 1920-1926",full_page,improve,,,,False,scope=regional (not US national),,
Mr. Greer’ asserted that nothing’would do more to bring back prosperity than a genu-: ine revival of refigion among the peo ple.,general_business,improve,na,na,vague,assertive,expert,John Greer,regional,True,a genuine revival of religion,/service/ndnp/gu/batch_gu_grouch_ver01/data/2022239691/00517010340/1923091701/0305.xml,1923-09-17,"the cordele dispatch and daily sentinel (cordele, georgia) 1920-1926",full_page,improve,,,,False,scope=regional (not US national),,
"John Snyder, Reconversion Director, has stated that there will be an im
mediate and large dislocation of our economy and that there will be
a sharp but temporary unemployment.",employment,worsen,na,up,vague,assertive,official,John Snyder,national,True,na,/service/ndnp/nbu/batch_nbu_bluejay_ver02/data/2023271000/0051701414A/1945082401/0649.xml,1945-08-24,"the powder keg (hastings, neb.) 1943-19??",full_page,up,,no UNRATE before 1948 / outside coverage,,False,no UNRATE before 1948 / outside coverage,12.0,default
"As it means the loss of many thousands of dollars to businessmen of Gordon, he cannot understand why they allow it to slip through their fingers.",general_business,worsen,na,na,vague,assertive,layperson,Jules A. Sandoz,regional,True,na,/service/ndnp/nbu/batch_nbu_junco_ver02/data/2023271005/00542866202/1924052901/0305.xml,1924-05-29,"the gordon journal (gordon, sheridan county, neb.) 1919-current",full_page,worsen,,,,False,scope=regional (not US national),,
upon the return of prosperity to the agricultural industry immigration to Sheridan county will exceed anything known to the Pacific coast country,general_business,improve,na,na,vague,assertive,journalist,na,regional,False,return of prosperity to the agricultural industry,/service/ndnp/nbu/batch_nbu_junco_ver02/data/2023271005/00542866202/1924052901/0305.xml,1924-05-29,"the gordon journal (gordon, sheridan county, neb.) 1919-current",full_page,improve,,,,False,scope=regional (not US national),,
"Serious deflation. Mr. Reuther warned, would be the inevitable result if workers’ take-home pay, which has been reduced 30 per eent by reduction to a 40-hour week, is not maintained.",general_business,worsen,down,na,vague,assertive,expert,Walter P. Reuther,national,True,workers' take-home pay is not maintained,/service/ndnp/mimtptc/batch_mimtptc_dexter_ver01/data/42047197/00340588678/1945090101/0327.xml,1945-09-01,"united automobile worker (detroit, mich.) 1936-1957",full_page,worsen,flat,INDPRO,0.0,True,,6.0,inferred_short
“Foil reconversion of our industry as it Is now being planned by nmaagenfem will fall far ihort of providing jebs tor the lotal of J l million workers who have seniority rights.,employment,worsen,na,up,vague,assertive,official,R. J. Thomas,national,True,na,/service/ndnp/mimtptc/batch_mimtptc_dexter_ver01/data/42047197/00340588678/1945091501/0341.xml,1945-09-15,"united automobile worker (detroit, mich.) 1936-1957",full_page,up,,no UNRATE before 1948 / outside coverage,,False,no UNRATE before 1948 / outside coverage,12.0,default
Corporate profits stand to be surprisingly good in 1946.,general_business,improve,na,na,12,assertive,expert,Business Week,national,True,na,/service/ndnp/mimtptc/batch_mimtptc_dexter_ver01/data/42047197/00340588678/1945100101/0351.xml,1945-10-01,"united automobile worker (detroit, mich.) 1936-1957",full_page,improve,improve,INDPRO,1.0,True,,12.0,stated
"The total might quite con ceivably top 1944’s $10,000,000,- 000 by a slight margin.",general_business,improve,na,na,12,hedged,expert,Business Week,national,True,na,/service/ndnp/mimtptc/batch_mimtptc_dexter_ver01/data/42047197/00340588678/1945100101/0351.xml,1945-10-01,"united automobile worker (detroit, mich.) 1936-1957",full_page,improve,improve,INDPRO,1.0,True,,12.0,stated
The business outlook for 1946 includes large profits out of which higher wages can be paid.,general_business,improve,na,na,12,assertive,journalist,na,national,False,na,/service/ndnp/mimtptc/batch_mimtptc_dexter_ver01/data/42047197/00340588678/1945100101/0351.xml,1945-10-01,"united automobile worker (detroit, mich.) 1936-1957",full_page,improve,improve,INDPRO,1.0,True,,12.0,stated
"Mir farmers v, 1 1 11 face an uncertain future.",general_business,unclear,na,na,vague,assertive,official,Harry S. Truman,industry,True,na,/service/ndnp/mimtptc/batch_mimtptc_dexter_ver01/data/42047197/00340588678/1949010101/0714.xml,1949-01-01,"united automobile worker (detroit, mich.) 1936-1957",full_page,,,,,False,scope=industry (not US national),,
unless proper corrective action is taken promptly the present minor recession may develop into a major one.,general_business,worsen,na,na,vague,hedged,expert,na,national,True,unless proper corrective action is taken promptly,/service/ndnp/mimtptc/batch_mimtptc_dexter_ver01/data/42047197/00340588678/1949060101/0769.xml,1949-06-01,"united automobile worker (detroit, mich.) 1936-1957",full_page,worsen,improve,INDPRO,0.0,True,,12.0,default
all suggest recession in 1949 and one that might snowball un less strong measures are taken.,general_business,worsen,na,na,12,hedged,expert,Seymour Harris,national,True,unless strong measures are taken,/service/ndnp/mimtptc/batch_mimtptc_dexter_ver01/data/42047197/00340588678/1949060101/0769.xml,1949-06-01,"united automobile worker (detroit, mich.) 1936-1957",full_page,worsen,improve,INDPRO,0.0,True,,12.0,stated
"A cut of five or ten billion in fed eta! spending now to balance the budget, he says, might cut national income 23 to 30 billion dollars, which would mean a serious depression",general_business,worsen,na,na,vague,hedged,expert,Seymour Harris,national,True,cut in federal spending,/service/ndnp/mimtptc/batch_mimtptc_dexter_ver01/data/42047197/00340588678/1949060101/0769.xml,1949-06-01,"united automobile worker (detroit, mich.) 1936-1957",full_page,worsen,improve,INDPRO,0.0,True,,12.0,default
The mere issuance of bonds to the banks or to the people who will have to take the money out of the banks to get the bonds or certificates will -not relieve the trouble.,general_business,no_change,na,na,vague,assertive,journalist,Willis J. Abbot,national,False,na,/service/ndnp/nbu/batch_nbu_carson_ver02/data/46032385/00237284896/1907112901/0116.xml,1907-11-29,"the commoner (lincoln, neb.) 1901-1923",full_page,flat,worsen,NBER,0.0,True,,12.0,default
Mr. Ogdon Armour is re;orted as taking an optimistic view of the business outlook.,general_business,improve,na,na,vague,hedged,expert,Ogden Armour,national,True,na,/service/ndnp/nbu/batch_nbu_carson_ver02/data/46032385/00237284896/1908041701/0441.xml,1908-04-17,"the commoner (lincoln, neb.) 1901-1923",full_page,improve,improve,NBER,1.0,True,,12.0,default
"We approve moBt heartily tho establishment of tho tariff commission, which will render unnecessary In tho futuro a goneral revision of tho tariff with its attondant business depression.",general_business,improve,na,na,vague,assertive,official,na,national,True,na,/service/ndnp/nbu/batch_nbu_carson_ver02/data/46032385/00237284902/1910101401/1216.xml,1910-10-14,"the commoner (lincoln, neb.) 1901-1923",full_page,improve,worsen,NBER,0.0,True,,12.0,default
"One of the most common-sense predictions is the Joint Committee on the Economic Report’s forecast of another boom year, labeling as “premature” the talk of recession or depression.",general_business,improve,na,na,12,assertive,official,Joint Committee on the Economic Report,national,True,na,/service/ndnp/ohi/batch_ohi_myrtle_ver01/data/56022775/00541313400/1949031901/0027.xml,1949-03-19,"trainman news (indianapolis, ind.) 1947-1968",full_page,improve,improve,INDPRO,1.0,True,,12.0,stated
