claim_id,episode,kind,publisher,state,date,search_term,page_url,quote,is_prediction,topic,direction,price_direction,unemployment_direction,horizon_months,confidence,voice,speaker_name
11,1907 Panic,crisis,"the idaho scimitar (boise, idaho) 1907-1908",idaho,1907-12-14,financial panic,http://www.loc.gov/resource/sn88056114/1907-12-14/ed-1/?sp=5,These are the preliminary arrangements for what will probably prove to be one of the most interesting and exciting conventions of the Republican party.,no,,,,,,,,
12,1907 Panic,crisis,"tonopah daily bonanza (tonopah, nev.) 1906-1929",nevada,1908-01-16,financial panic,http://www.loc.gov/resource/sn86076142/1908-01-16/ed-1/?sp=2,ROSEBUD RAPIDLY FORGING AHEAD FINANCIAL PANIC HAVIXU GONE BY ALL PROPERTIES ARK RESUMING WORK.,yes,general_business,improve,na,na,vague,assertive,journalist,na
13,1907 Panic,crisis,"tonopah daily bonanza (tonopah, nev.) 1906-1929",nevada,1908-01-16,financial panic,http://www.loc.gov/resource/sn86076142/1908-01-16/ed-1/?sp=2,"O'Neill, superintendent of the Rosebud Extension and the Saw Tooth Galena King Mining companies, was in the city yesterday, and will leave for -Rosebud this morning.",no,,,,,,,,
14,1907 Panic,crisis,"tonopah daily bonanza (tonopah, nev.) 1906-1929",nevada,1908-01-16,financial panic,http://www.loc.gov/resource/sn86076142/1908-01-16/ed-1/?sp=2,"\""With the little surface work that has been done on the Galena King and with the shaft down only forty feet, we have taken out eight tons of ore that will go over a hundred dollars a ton.",no,,,,,,,,
15,1907 Panic,crisis,"the river press (fort benton, mont.) 1880-current",montana,1907-10-23,financial panic,http://www.loc.gov/resource/sn85053157/1907-10-23/ed-1/?sp=8,"NO FEAR, THE FARMERS WILL BE BUYING MORE AUTOMO BILES THIS FALL, AND INSTEAD OF DISASTER THERE WILL BE MORE REAL PROSPERITY THAN EVER BEFORE.",yes,general_business,improve,na,na,vague,assertive,unclear,na
16,1907 Panic,crisis,"the commoner (lincoln, neb.) 1901-1923",nebraska,1907-11-29,financial panic,http://www.loc.gov/resource/46032385/1907-11-29/ed-1/?sp=4,"Foraker and his associates in the Brownsville inquiry will op pose, but it will have great strength if it gets out of the committee in either house or senate.",no,,,,,,,,
17,1907 Panic,crisis,"the commoner (lincoln, neb.) 1901-1923",nebraska,1907-11-29,financial panic,http://www.loc.gov/resource/46032385/1907-11-29/ed-1/?sp=4,"President Roosevelt message, so I am told, will start with a reference to the financial panic which the country has just experienced.",no,,,,,,,,
18,1907 Panic,crisis,"the commoner (lincoln, neb.) 1901-1923",nebraska,1907-11-29,financial panic,http://www.loc.gov/resource/46032385/1907-11-29/ed-1/?sp=4,"He will declare in that message that the panic was not due to any lack of prosperity, to any strin gency in the money market or any contraction of the currency, but simply to a general lack of confidence on thepart of the public In great banks and financial institutions due to the oper ations of such financiers as Mr.",no,,,,,,,,
19,1907 Panic,crisis,"the daily guard (batesville, ark.) 1905-1912",arkansas,1908-01-13,financial panic,http://www.loc.gov/resource/sn90050267/1908-01-13/ed-1/?sp=1,"The science of medicine is very in accurate, and practitioners are con tinually learning much which will be of material benefit to coming genera tions.",no,,,,,,,,
20,1907 Panic,crisis,"the daily guard (batesville, ark.) 1905-1912",arkansas,1908-01-13,financial panic,http://www.loc.gov/resource/sn90050267/1908-01-13/ed-1/?sp=1,"Being of lawful age and having the required surety along with him, the clerk at once pvt his fist to the desired document, A few days later the license was re turned, endorsed \u201cNo Property found\u201d It is not definitely known as to wheth er or not the sarch will be renewed.",no,,,,,,,,
21,1907 Panic,crisis,"aberdeen herald (aberdeen, chehalis county, w.t.) 1886-1917",washington,1907-10-21,financial panic,http://www.loc.gov/resource/sn87093220/1907-10-21/ed-1/?sp=4,THE FARMERS WILL BE BUYING MORE AUTOMO BILES THIS FALL.,yes,general_business,improve,na,na,vague,assertive,unclear,na
22,1907 Panic,crisis,"aberdeen herald (aberdeen, chehalis county, w.t.) 1886-1917",washington,1907-10-21,financial panic,http://www.loc.gov/resource/sn87093220/1907-10-21/ed-1/?sp=4,AND INSTEAD OF DISASTER THERE WILL BE MORE REAL PROSPERITY THAN EVER BEFORE.,yes,general_business,improve,na,na,vague,assertive,unclear,na
23,1907 Panic,crisis,"bismarck daily tribune (bismarck, dakota [n.d.]) 1881-1916",north dakota,1908-01-09,financial panic,http://www.loc.gov/resource/sn85042242/1908-01-09/ed-1/?sp=3,"\u2022\u2022nf Of course where corporations are still acting outside of the law UNKNOWINGLY it is to be expected that they should be set right, but I am sure they can be accomplished without harm to any one and without the least injury to credit, if the situation is PROPERLY AND INTELLIGENTLY HANDLED by the administration.",yes,general_business,improve,na,na,vague,hedged,official,na
24,1907 Panic,crisis,"bismarck daily tribune (bismarck, dakota [n.d.]) 1881-1916",north dakota,1908-01-09,financial panic,http://www.loc.gov/resource/sn85042242/1908-01-09/ed-1/?sp=3,"NO FEAR, THE FARMERS WILL BE' BUYING MORE AUTOMO\u00ad BILES THIS FALL, AND IN8TEAD OF DISASTER THERE WILL BE MORE REAL PROSPERITY THAN EVER BEFORE.",yes,general_business,improve,na,na,vague,assertive,unclear,na
25,1907 Panic,crisis,"coeur d'alene evening press (coeur d'alene, idaho) 1907-1929",idaho,1908-01-23,financial panic,http://www.loc.gov/resource/sn88056094/1908-01-23/ed-1/?sp=4,If the foreigner is paid more money than he actually needs to live on I1E WILL SEND IT HOME.,no,,,,,,,,
26,1907 Panic,crisis,"coeur d'alene evening press (coeur d'alene, idaho) 1907-1929",idaho,1908-01-23,financial panic,http://www.loc.gov/resource/sn88056094/1908-01-23/ed-1/?sp=4,PERHAPS THE FINANCIAL PANIC WILL TEACH US A LESSON AND SOME TIME IN THE FUTURE THE AMERICANS WILL GO BACK TO WORK.,yes,employment,improve,na,down,vague,hedged,unclear,na
27,1907 Panic,crisis,"the nashville globe (nashville, tenn.) 1906-193?",tennessee,1908-06-05,financial panic,http://www.loc.gov/resource/sn86064259/1908-06-05/ed-1/?sp=1,"It is thought she will recov Miss 'Matt to Winfrey, who finished in the normal department, of Walden University, left the city Sunday for Vr homo at Little Rock.",no,,,,,,,,
28,1907 Panic,crisis,"the wisconsin tobacco reporter (edgerton, wis.) 1877-1950",wisconsin,1908-01-17,financial panic,http://www.loc.gov/resource/sn86086586/1908-01-17/ed-1/?sp=1,Or the whole the showing is not as bad as was expected.,no,,,,,,,,
29,1907 Panic,crisis,"the wisconsin tobacco reporter (edgerton, wis.) 1877-1950",wisconsin,1908-01-17,financial panic,http://www.loc.gov/resource/sn86086586/1908-01-17/ed-1/?sp=1,"Fully 85 per cent, of this falling off, however, took place during the last quarter of the year, and may in a large measure be put down to the financial panic, a more or less ac cidental condition, which, there is rea son to hope, will not recur.\u2014Journal.",yes,general_business,improve,na,na,vague,hedged,journalist,na
30,1907 Panic,crisis,"the wisconsin tobacco reporter (edgerton, wis.) 1877-1950",wisconsin,1908-01-17,financial panic,http://www.loc.gov/resource/sn86086586/1908-01-17/ed-1/?sp=1,"The trade will undoubtedly be grati fied to learn that the output of our cigar industry for the year just passed, that is 1907, in the dominating cigar manufact uring districts escaped the severer con sequences of the recent financial panic with just a black eye.",no,,,,,,,,
31,1907 Panic,crisis,"the commonwealth (scotland neck, n.c.) 1896-1929",north carolina,1907-10-17,business outlook,http://www.loc.gov/resource/sn92073908/1907-10-17/ed-1/?sp=4,The Merchants Journal and Com merce is very sanguine regarding the business outlook in the South.,yes,general_business,improve,na,na,vague,assertive,expert,na
32,1907 Panic,crisis,"the commonwealth (scotland neck, n.c.) 1896-1929",north carolina,1907-10-17,business outlook,http://www.loc.gov/resource/sn92073908/1907-10-17/ed-1/?sp=4,"In a recent issue it says: \""The business outlook improves as the autumn season opens.",yes,general_business,improve,na,na,vague,assertive,unclear,na
33,1907 Panic,crisis,"the morning astorian (astoria, oregon) 1899-1930",oregon,1907-10-23,business outlook,http://www.loc.gov/resource/sn85042400/1907-10-23/ed-1/?sp=3,"\""Even under present conditions the business outlook appears to me to be bright.\"" I \""Business conditions on the whole ap pear to me personally, to be very good, said Charles A.",yes,general_business,improve,na,na,vague,hedged,expert,Charles A
34,1907 Panic,crisis,"the morning astorian (astoria, oregon) 1899-1930",oregon,1907-10-23,business outlook,http://www.loc.gov/resource/sn85042400/1907-10-23/ed-1/?sp=3,I can see no reason to be lieve there will be a panic in the future.,yes,general_business,improve,na,na,vague,assertive,unclear,na
35,1907 Panic,crisis,"the morning astorian (astoria, oregon) 1899-1930",oregon,1907-10-23,business outlook,http://www.loc.gov/resource/sn85042400/1907-10-23/ed-1/?sp=3,"The business outlook, as I see it, is bright save for the money tightness of which I spoke and I believe that this is a temporary condition.\"" WILL CARRY MANY CHARTS.",yes,general_business,improve,na,na,vague,assertive,expert,na
36,1907 Panic,crisis,"the morning astorian (astoria, oregon) 1899-1930",oregon,1907-10-23,business outlook,http://www.loc.gov/resource/sn85042400/1907-10-23/ed-1/?sp=3,"When Rear- Admiral Evans\"" battleship fleet starts on us voyage around the Western Hemisphere on December 13 each vessel will carry in its chart room more than 700 different charts of the.",no,,,,,,,,
37,1907 Panic,crisis,"the morning astorian (astoria, oregon) 1899-1930",oregon,1907-10-23,business outlook,http://www.loc.gov/resource/sn85042400/1907-10-23/ed-1/?sp=3,"route to be traversed, the'eohst by which the ships will pass, and the harbors at which they may stop.",no,,,,,,,,
38,1907 Panic,crisis,"crittenden record=press (marion, ky.) 1907-1909",kentucky,1908-03-05,business outlook,http://www.loc.gov/resource/sn86069458/1908-03-05/ed-1/?sp=5,"Hut as regards other investments great discrimination is exercised, and the uncertainties existing over the political and business outlook tends to a lack of confidence.",no,,,,,,,,
39,1907 Panic,crisis,the washington times (washington [d.c.]) 1902-1939,district of columbia,1908-01-19,business outlook,http://www.loc.gov/resource/sn84026749/1908-01-19/ed-1/?sp=6,He unhesi tatingly answered the query as to the business outlook for the merchant for the year with the statement that no rezson cxisted for a belief in any o\u2019her than a bright future.,yes,general_business,improve,na,na,12,assertive,expert,na
40,1907 Panic,crisis,the washington times (washington [d.c.]) 1902-1939,district of columbia,1908-01-19,business outlook,http://www.loc.gov/resource/sn84026749/1908-01-19/ed-1/?sp=6,IT see no reason for any but bright view of the coming year.\u201d Kann Sees Reason To Keep Expanding The confidence of 8.,yes,general_business,improve,na,na,12,assertive,expert,Kann
41,1907 Panic,crisis,the washington times (washington [d.c.]) 1902-1939,district of columbia,1908-01-19,business outlook,http://www.loc.gov/resource/sn84026749/1908-01-19/ed-1/?sp=6,"Kann, Sons Co., in the business outlook for 19% was rointed out by Louis Kaun yesterday when, in answer to the reporter's query he said that the firm was commencing to add an .additional story to a large section of the building.",no,,,,,,,,
42,1907 Panic,crisis,"arizona republican (phoenix, ariz.) 1890-1930",arizona,1907-12-19,business outlook,http://www.loc.gov/resource/sn84020558/1907-12-19/ed-1/?sp=12,o WESltRNER'S VIEW OF BUSINESS OUTLOOK PROSPECTIVE DIAL 1 FOR 4 RICH MINE!,no,,,,,,,,
43,1907 Panic,crisis,"arizona republican (phoenix, ariz.) 1890-1930",arizona,1907-12-19,business outlook,http://www.loc.gov/resource/sn84020558/1907-12-19/ed-1/?sp=12,"Murphy, president of the Santa Fe Prescott Phoenix Railroad, and president of tre Prescott National j Bank, who recently went to New York, was asked by a reporter for his opin ion regarding the business outlook generallv.",no,,,,,,,,
44,1907 Panic,crisis,"the wallace miner (wallace, idaho) 1907-current",idaho,1907-10-17,business outlook,http://www.loc.gov/resource/sn85007266/1907-10-17/ed-1/?sp=2,*t i i stock market and that the local business outlook is not so good as it was.,no,,,,,,,,
45,1907 Panic,crisis,"the wallace miner (wallace, idaho) 1907-current",idaho,1907-10-17,business outlook,http://www.loc.gov/resource/sn85007266/1907-10-17/ed-1/?sp=2,"What are they doing to rem edy any of the evils they complain of The prices of the metals are of course, beyond their control, but they could at least help to publish abroad the fact that they are much higher than any body expected a few years ago; are not likely to go lower and will probably go much j higher again.",yes,prices,improve,up,na,vague,hedged,unclear,na
46,1907 Panic,crisis,"the wallace miner (wallace, idaho) 1907-current",idaho,1907-10-17,business outlook,http://www.loc.gov/resource/sn85007266/1907-10-17/ed-1/?sp=2,I If the business outlook is hot so bright as it was it is largely their own fault.,no,,,,,,,,
47,1907 Panic,crisis,"daily press (newport news, va.) 1896-current",virginia,1907-10-13,business outlook,http://www.loc.gov/resource/sn83045830/1907-10-13/ed-1/?sp=10,"tors to make Iho puWie and tho other speculator.; believe ihat the business outlook is dark, and that tho condi Horm will be still \\vor:,e throe or six month's hence.",yes,general_business,worsen,na,na,6,assertive,unclear,na
48,1907 Panic,crisis,"daily press (newport news, va.) 1896-current",virginia,1907-10-13,business outlook,http://www.loc.gov/resource/sn83045830/1907-10-13/ed-1/?sp=10,of the pessimistic talking about tho business outlook in 1007.,no,,,,,,,,
49,1907 Panic,crisis,"the tucumcari news and tucumcari times (tucumcari, n.m.) 1907-1921",new mexico,1908-03-07,business outlook,http://www.loc.gov/resource/sn93061711/1908-03-07/ed-1/?sp=17,"Welch of the Welch hard ware Co., El Paso, was in town a day or two this week and was greatly pleased with the business outlook.",yes,general_business,improve,na,na,vague,hedged,expert,Welch
50,1907 Panic,crisis,"the washington herald (washington, d.c.) 1906-1939",district of columbia,1908-04-05,business outlook,http://www.loc.gov/resource/sn83045433/1908-04-05/ed-1/?sp=31,"We are glad of last yeer, shows that we are prosperin face of a poorer business outlook than respectful citizens has begun, in the This building enterprise wich our most boom wich Bingville has ahead of it.",yes,general_business,improve,na,na,vague,assertive,journalist,na
51,1907 Panic,crisis,"tazewell republican (tazewell, va.) 1892-1919",virginia,1908-01-09,business outlook,http://www.loc.gov/resource/sn95079154/1908-01-09/ed-1/?sp=2,From present indications the business outlook for 1908 in the United States is good.,yes,general_business,improve,na,na,12,hedged,journalist,na
52,1907 Panic,crisis,"the richmond palladium and sun-telegram (richmond, ind.) 1907-1939",indiana,1907-10-06,business outlook,http://www.loc.gov/resource/sn86058226/1907-10-06/ed-1/?sp=4,"It is to the interest of some specula tors to make the public and the other speculators believe that the business outlook Is dark, and that the condi tions will be still worse three or six months hence.",yes,general_business,worsen,na,na,6,assertive,unclear,na
53,1907 Panic,crisis,"the richmond palladium and sun-telegram (richmond, ind.) 1907-1939",indiana,1907-10-06,business outlook,http://www.loc.gov/resource/sn86058226/1907-10-06/ed-1/?sp=4,"That is the Wall Street which the public has in mind when it condemns that place That too, Is the Wall Street which is doing most, though not all, of the pes simistic talking about the business outlook in 1907.",no,,,,,,,,
54,1907 Panic,crisis,the washington times (washington [d.c.]) 1902-1939,district of columbia,1908-05-17,business outlook,http://www.loc.gov/resource/sn84026749/1908-05-17/ed-1/?sp=5,"The people are geiling back to a calmer frame, confidence that the courts will protect rights and inter ests and persons has been inspired by Some recent decisions.",yes,general_business,improve,na,na,vague,assertive,journalist,na
55,1907 Panic,crisis,the washington times (washington [d.c.]) 1902-1939,district of columbia,1908-05-17,business outlook,http://www.loc.gov/resource/sn84026749/1908-05-17/ed-1/?sp=5,"|E PAE |E O58 We are getting \""back to better condi tions \u201cThe business outlook?",yes,general_business,improve,na,na,vague,assertive,unclear,na
56,1907 Panic,crisis,"the tucumcari news and tucumcari times (tucumcari, n.m.) 1907-1921",new mexico,1908-01-18,business outlook,http://www.loc.gov/resource/sn93061711/1908-01-18/ed-1/?sp=23,"3 a, FURNISHED ROOM CARDS r4 Mi 0 ill Hi nr r a' mu 1 ucumcan rnnung ko, t e fr fr e e-1 f- fr e f THE BUSINESS OUTLOOK An Interview With Max B.",no,,,,,,,,
57,1907 Panic,crisis,"the tucumcari news and tucumcari times (tucumcari, n.m.) 1907-1921",new mexico,1908-01-18,business outlook,http://www.loc.gov/resource/sn93061711/1908-01-18/ed-1/?sp=23,"Goldenberg, One of Our Most Substantial Bus iness Men BUSINESS PROSPERING AND BANKS SOLID The reporter had an interview with Max Goldenberg, one of our most substantial business men, on the outlook for business this spring, which is given in part, following: Mr.",no,,,,,,,,
58,1907 Panic,crisis,"the alamogordo news (alamogordo, n.m.) 1899-1912",new mexico,1907-10-05,business outlook,http://www.loc.gov/resource/sn92070566/1907-10-05/ed-1/?sp=3,"H, Cox, who conducts a large grocery, dry goods, clothing and shoe business on New York avenue, In dis cussing the business outlook for the coming year, made the following state ment: our expectations during the year have more than beeu realized, it being necessary tor us to replenish some of the lines we carry, such as dry goods, shoes and men's clothing several times, to sup ply the demand.",no,,,,,,,,
59,1907 Panic,crisis,"evening star (washington, d.c.) 1854-1972",district of columbia,1907-11-23,business outlook,http://www.loc.gov/resource/sn83045462/1907-11-23/ed-1/?sp=21,"4 NEW YORK, November 23.-Several railroad presidents who have just returned to this city from the west expressed hope ful views of the business outlook In the west, while admitting that tho disturb ances through which the country is pass ing must of necessity be reflected in a falling off in railroad earnings.",yes,general_business,improve,na,na,vague,hedged,expert,na
60,1907 Panic,crisis,"the white pine news (ely, nev.) 1906-1910",nevada,1908-06-24,business outlook,http://www.loc.gov/resource/sn86076249/1908-06-24/ed-1/?sp=3,"Traffic officials of the great railroad system spoke In a tone- of some encouragement of the business outlook, although having actual outlook, although having small actual Increase in tonnage Yesterday was another practically featureless day in the* market.",yes,general_business,improve,na,na,vague,hedged,expert,na
61,1907 Panic,crisis,the san francisco call (san francisco [calif.]) 1895-1913,california,1908-05-17,business outlook,http://www.loc.gov/resource/sn85066387/1908-05-17/ed-1/?sp=25,"FIRST NEWS SECTION PROSPERITY ON ITS WAY BACK, SAYS HARRIMAN Declares Business Outlook Is Excellent and Crops All Good Says There Has Been Too Much Unrest Among the Whole People Asserts He Is Out of Politics.",yes,general_business,improve,na,na,vague,assertive,expert,Harriman
62,1907 Panic,crisis,the san francisco call (san francisco [calif.]) 1895-1913,california,1908-05-17,business outlook,http://www.loc.gov/resource/sn85066387/1908-05-17/ed-1/?sp=25,"bat Will Spend Money His Own Way SPECIAL DISPATCH TO THE CALL WASHINGTON, May 16.\u2014 E.",no,,,,,,,,
63,1907 Panic,crisis,"the new haven union (new haven, conn.) 1895-192?",connecticut,1908-01-08,business outlook,http://www.loc.gov/resource/sn92051126/1908-01-08/ed-1/?sp=4,"Encouraging reports continue to come from the industrial centres, con cerning the business outlook and the steady return of wholesome conditions.",yes,general_business,improve,na,na,vague,hedged,unclear,na
64,1907 Panic,crisis,"the new haven union (new haven, conn.) 1895-192?",connecticut,1908-01-08,business outlook,http://www.loc.gov/resource/sn92051126/1908-01-08/ed-1/?sp=4,"In Waterbury, one of the busiest manu facturing centres in New England, heavy orders are being received by many of the large manufactories, near ly all of which will shortly be running on practically full time.",yes,employment,improve,na,down,vague,assertive,journalist,na
65,1907 Panic,crisis,"the roswell daily record (roswell, n.m.) 1903-current",new mexico,1907-11-02,business outlook,http://www.loc.gov/resource/sn86063823/1907-11-02/ed-1/?sp=2,"Next Tuesday is election day in a number of states, and a big increase in the Democratic vote probably will be noted as a result of the recent Roosevelt financial flurry.",no,,,,,,,,
66,1907 Panic,crisis,"the roswell daily record (roswell, n.m.) 1903-current",new mexico,1907-11-02,business outlook,http://www.loc.gov/resource/sn86063823/1907-11-02/ed-1/?sp=2,There is nothing whatever in the business outlook and financial condi tions of the country to cause uneasi ness to any man who is engaged in a legitimate and honest occupation.,yes,general_business,improve,na,na,vague,assertive,unclear,na
67,1907 Panic,crisis,"the salt lake tribune (salt lake city, utah) 1890-current",utah,1907-12-30,business outlook,http://www.loc.gov/resource/sn83045396/1907-12-30/ed-1/?sp=7,"inUar?,Ly0Ur,OWn 1,01,1 1,1 ,r Prlvatti 0tstr., Latest dellrnclea t f \""cstr'1 Every Ariernaon and Kvan- t 1 OUTLOOK FOR 1908- IS BRIGHT AT 0GD.EN Special to The Tribune.",yes,general_business,improve,na,na,vague,assertive,journalist,na
68,1907 Panic,crisis,"the salt lake tribune (salt lake city, utah) 1890-current",utah,1907-12-30,business outlook,http://www.loc.gov/resource/sn83045396/1907-12-30/ed-1/?sp=7,"A number of citizens are inclined to lak a pessimistic vlow of the business outlook during the early purt of the com ing yoar, but tho merchants are not fear ing any great Hlump.",yes,general_business,improve,na,na,vague,assertive,expert,na
69,1907 Panic,crisis,"the salt lake tribune (salt lake city, utah) 1890-current",utah,1907-12-30,business outlook,http://www.loc.gov/resource/sn83045396/1907-12-30/ed-1/?sp=7,"The railroad companies arc contemplat ing a number of Improvements during the spring, which will give employment J to a large number of laborers.",yes,employment,improve,na,down,vague,hedged,unclear,na
70,1907 Panic,crisis,"the salt lake tribune (salt lake city, utah) 1890-current",utah,1907-12-30,business outlook,http://www.loc.gov/resource/sn83045396/1907-12-30/ed-1/?sp=7,"Bcsldos a number of other enterprises aro on foot, and It Is not believed there will be mnny men out of employment who really care to work.",yes,employment,improve,na,down,vague,hedged,unclear,na
71,1907 Panic,crisis,"the salt lake tribune (salt lake city, utah) 1890-current",utah,1907-12-30,business outlook,http://www.loc.gov/resource/sn83045396/1907-12-30/ed-1/?sp=7,The banks of the city aro sanguine re garding tho business outlook.,yes,general_business,improve,na,na,vague,assertive,expert,na
72,1907 Panic,crisis,"the salt lake tribune (salt lake city, utah) 1890-current",utah,1907-12-30,business outlook,http://www.loc.gov/resource/sn83045396/1907-12-30/ed-1/?sp=7,"the scrip now In circulation will be gradually retired, and \""real money\"" substituted.",yes,markets,improve,na,na,vague,assertive,unclear,na
73,1907 Panic,crisis,"the commoner (lincoln, neb.) 1901-1923",nebraska,1908-04-17,business outlook,http://www.loc.gov/resource/46032385/1908-04-17/ed-1/?sp=6,Fifty cents per man will not keep a dinner pail full very long.,no,,,,,,,,
74,1907 Panic,crisis,"the commoner (lincoln, neb.) 1901-1923",nebraska,1908-04-17,business outlook,http://www.loc.gov/resource/46032385/1908-04-17/ed-1/?sp=6,Ogdon Armour is re;orted as taking an optimistic view of the business outlook.,yes,general_business,improve,na,na,vague,hedged,expert,Ogdon Armour
75,1907 Panic,crisis,"the daily alaskan (skagway, alaska) 1904-1924",alaska,1908-02-27,business outlook,http://www.loc.gov/resource/sn82014189/1908-02-27/ed-1/?sp=1,Th j business outlook and the npllft In public morals presented to him a most pleasing prospect fbere ^aa nothing to cause uneasiness or alarm for the immediate future.,yes,general_business,improve,na,na,vague,assertive,unclear,na
76,1907 Panic,crisis,"the daily alaskan (skagway, alaska) 1904-1924",alaska,1908-02-27,business outlook,http://www.loc.gov/resource/sn82014189/1908-02-27/ed-1/?sp=1,"What is koowD u the Rose bill which provides (or lo cal pp'ion by cou^t'^s throughout the state, passed boih bouses today, and only awaits the signature of the gover nor, which will no doubt be appended before the day is out.",no,,,,,,,,
77,1907 Panic,crisis,"the vinita daily chieftain (vinita, indian territory [okla.]) 1902-1913",oklahoma,1907-10-09,business outlook,http://www.loc.gov/resource/sn83025020/1907-10-09/ed-1/?sp=1,"writes here to ascertain the outlook for a big department store at this place, and other Inquiries are coming from many sources regarding the fu ture of Vinita and business outlook.",no,,,,,,,,
78,1907 Panic,crisis,new-york tribune (new york [n.y.]) 1866-1924,new york,1908-05-02,return of prosperity,http://www.loc.gov/resource/sn83030214/1908-05-02/ed-1/?sp=3,"On all sides we find expressions of favorable sentiments to the effect that further legislation against rail reads and large corporations shall cease, that the business interests of the country shall be given a rest and that the departments of justice may be allowed to proceed with thelr work in a quiet manner.",no,,,,,,,,
79,1907 Panic,crisis,new-york tribune (new york [n.y.]) 1866-1924,new york,1908-05-02,return of prosperity,http://www.loc.gov/resource/sn83030214/1908-05-02/ed-1/?sp=3,"On all sides we find expressions of favorable sentiments to the effect that further legislation against rail reads and large corporations shall cease, that the husiness interests of the country shall be given a rest and that the departments of justice may be allowed to proceed with thelr work in a quiet manner.",no,,,,,,,,
80,1907 Panic,crisis,"the san antonio light (san antonio, tex.) 1907-1909",texas,1908-06-07,return of prosperity,http://www.loc.gov/resource/sn86090330/1908-06-07/ed-1/?sp=11,"On all sides we find expressions of favorable sentiments to the effect that further legislation against railroads and large corporations shall cease, that the business Interests of this country shall be given a rest and that the de partments of justice may be allowed to proceed with their work In a quiet manner, which, of course.",no,,,,,,,,
