speaker_name,publisher,state,date,episode,quote,predicted_label,realized_label,confidence,hit
Albert Kruse,"the people's voice (helena, mont.) 1939-1969",montana,1955-07-22,1955 Calm (control),"Kruse Tells Havre Co-op Meeting Another 100,000 Farmers Will Be Forced OH the Land This Year As a result of the continuing cost-price squeeze on the na-* tion's agriculture government sources estimate that another 100,000 farmers will be forced off the land this year, State Commissioner of Agriculture Albert Kruse told more than 200 stockholders at the annual meeting of the Havre Farmers Grain Exchange, Wednesday.",up,up,assertive,1.0
Charles A,"the morning astorian (astoria, oregon) 1899-1930",oregon,1907-10-23,1907 Panic,"\""Even under present conditions the business outlook appears to me to be bright.\"" I \""Business conditions on the whole ap pear to me personally, to be very good, said Charles A.",improve,improve,hedged,1.0
Welch,"the tucumcari news and tucumcari times (tucumcari, n.m.) 1907-1921",new mexico,1908-03-07,1907 Panic,"Welch of the Welch hard ware Co., El Paso, was in town a day or two this week and was greatly pleased with the business outlook.",improve,improve,hedged,1.0
Ogdon Armour,"the commoner (lincoln, neb.) 1901-1923",nebraska,1908-04-17,1907 Panic,Ogdon Armour is re;orted as taking an optimistic view of the business outlook.,improve,improve,hedged,1.0
President Roosevelt,"the idaho scimitar (boise, idaho) 1907-1908",idaho,1907-11-30,1907 Panic,"Meanwhile such distinguished advisers as President Roosevelt and Secretary Cor tclyou protest that if the people will cease hoarding their money and will pour it into the stream of daily transactions, the stringency will disappear and panic will flee before the return of prosperity.",improve,improve,hedged,1.0
H,"the new york herald (new york, n.y.) 1920-1924",new york,1921-03-07,1920 Depression,An Improving International business outlook Is reported by H.,improve,improve,hedged,1.0
Teagle,"the abbeville press and banner (abbeville, s.c.) 1869-1924",south carolina,1921-01-03,1920 Depression,Teagle Forecast# an Early Wave of Buying if All Pull Together?,improve,improve,hedged,1.0
Percy H.,"the new york herald (new york, n.y.) 1920-1924",new york,1921-01-21,1920 Depression,A note of optimism regarding the general business outlook was sounded by Percy H.,improve,improve,hedged,1.0
Willard McGuire,"the mt. sterling advocate (mt. sterling, ky.) 1890-current",kentucky,1921-03-03,1920 Depression,"They believe in talking pros perity, not being \""down in the mouth,\"" feeling con-$; fident that there are better times ahead for all of those who are willing to hustle and push for business The members of this hustling firm, Willard and Dil lard McGuire, are two of Mt.",improve,improve,hedged,1.0
Meherin,"the alaska daily empire (juneau, alaska) 1912-1926",alaska,1921-02-28,1920 Depression,".Meherin, junior member of he brokerage firm of Olson Me-i liein,^ who returned today from a thrfee months' business trip in the Pacific Coast States, says that no matter what happens or what the conditions are elsewhere, Alaska is coming hack strong and although things mlghT not fee right up to a InO per cent in the North during 1921, look for 1922.",improve,improve,hedged,1.0
Aldrich,"the waterbury democrat (waterbury, conn.) 1917-1946",connecticut,1937-11-19,1937 Recession,"He declared that a bal anced budget was the chief factor, and that if the treasury reached that goal, \""the cornerstone of the foundation of true business recovery will have been laid.\"" Many Big Men Present Aldrich addressed the 169th an nual dinner meeting of the New York state Chamber of Commerce, of which he is president, and in the audience of 800 were: John D.",improve,improve,hedged,1.0
Chairman Carlisle,"the daily alaska empire (juneau, alaska) 1926-1964",alaska,1937-11-24,1937 Recession,"Chairman Carlisle gave added in dications of progress in the Presi dent\u2019s efforts to meet what Roose velt calls \""a crying need for ex pansion\"" in the power industry, to aid the general business outlook.",improve,improve,hedged,1.0
Shrove,"the nome nugget (nome, alaska) 1938-current",alaska,1949-05-04,1948 Recession,"Shrove, in the keynote address of the chamber\u2019s 37th an nual meeting, also told some 2,500 i business leaders: \u201cWhen the current readjustment has run its course, and buying for i n ventory replacement revives, business should find itself on a sounder and infinitely more satis factory basis.\u201d The shut to a more solid and orderly pattern of prosperity\u201d will be blocked or delayed, Shreve said, if the government raises taxes and lays down economic controls\u2014as proposed by Presi dent Truman\u2014or embarks on a policy of in-the-red financing.",improve,improve,hedged,1.0
President Eisenhower,"toledo union journal (toledo, ohio) 1942-current",ohio,1958-06-27,1957 Recession,"Time Marches On \""FHERE ARE grounds for expecting that the decline in business activity need not be long.\u201d (President Eisenhower in his Economic Report to Congress, Jan.",improve,improve,hedged,1.0
Cruikshank,"toledo union journal (toledo, ohio) 1942-current",ohio,1958-04-11,1957 Recession,"He noted that there now is a Fede l ral program for long-term, low: interest rates for municipalities' and he plans to put details of this) tion which would shore up the state systems so that the fed eral government will not have to step in again each time a fu ture recession threatens.\u201d 1 Cruikshank asserted that by \u201cbold and imaginative \u2019\u2019ac tion, \u201cwe can turn the threats and dangers of this recession, and even its accompanying hu man suffering, into opportu nity to build stronger defenses 1 for our free economy and our 1 democratic way of life.\u201d Sec.",improve,improve,hedged,1.0
Arthur H Motley,"evening star (washington, d.c.) 1854-1972",district of columbia,1958-01-29,1957 Recession,"Arthur H Motley, publisher of Parade, a weekly magazine, told the Board of Trade an nual business outlook confer ence: \""Just as the peak of the boom passed two years ago, the bottom of whatever it is we're in may be behind, not ahead of us.",improve,improve,hedged,1.0
William R.,"evening star (washington, d.c.) 1854-1972",district of columbia,1957-10-21,1957 Recession,"Graagtr by all segments of the secur ities industry.\u201d Inflation DUemma Been Throughout Free World How to stop inflation with out stopping the boom worries monetary authorities and clouds the business outlook throughout the free world, re ported William R.",worsen,worsen,hedged,1.0
Roger M.,"evening star (washington, d.c.) 1854-1972",district of columbia,1958-05-10,1957 Recession,"\""A speck more optimism\u201d over the business outlook since the group met last in March was reported by Roger M.",improve,improve,hedged,1.0
Collins,"the key west citizen (key west, fla.) 1879-current",florida,1958-06-09,1957 Recession,"Assessing the state's business future for The Associated Press, Collins said: \u201cThere io reason to be cautious ly optimistic about the business outlook for Florida during the re mainder of 1958.",improve,improve,hedged,1.0
Secretary Weeks,"the key west citizen (key west, fla.) 1879-current",florida,1958-04-30,1957 Recession,Secretary of Commerce Weeks 10 days ago said he believed the bottom already has been reached and the recovery will come by late summer.,improve,improve,hedged,1.0
Nash,the washington times (washington [d.c.]) 1902-1939,district of columbia,1926-05-19,1925 Calm (control),".t >-T /,,v- ?y t Nash Is Optimistic on Business Outlook C.",improve,improve,hedged,1.0
Nash,the washington times (washington [d.c.]) 1902-1939,district of columbia,1926-05-19,1925 Calm (control),"Nash, long regarded as one of the outstanding leaders and spokesmen of the automobile industry, declared in summing up the general business outlook that crop conditions together with \u201c.confidence .inspired by the present Administration at Washington,\u201d justify the optimism that seems\u2018present every where.",improve,improve,hedged,1.0
Frank Greene,"the bismarck tribune (bismarck, n.d.) 1916-current",north dakota,1926-01-25,1925 Calm (control),"Improved conditions in Europe, offering an op portunity for foreign trade develop ment, is one of the bright spots in the future business outlook says Frank Greene in his monthly review of business conditions in Nation\u2019s Business Magazine, published by the Chamber of Commerce of the United States.",improve,improve,hedged,1.0
Coolidge,"casper daily tribune (casper, wyo.) 1916-1931",wyoming,1925-07-16,1925 Calm (control),"HEAT WAVE BROKEN IN WEST BUSINESS OUTLOOK IN NATION ENCOURAGING, COOLIDGE BELIEVES SWAMPSCOTT, Mass., July 16.\u2014(8y The Associated Press).\u2014 President Coolidge is optimistic over tho present outlook for business.",improve,improve,hedged,1.0
Mr.,"the bismarck tribune (bismarck, n.d.) 1916-current",north dakota,1926-05-15,1925 Calm (control),"\u201cThe fact that the Kimball com pany is increasing its production 50 per cent this year indicates its con fidence in ihe public buying, and pay ing for, M per cent more instruments, and the indications throughout North Dakotr are that it will not be dis appointed in this territory,\u2019\u2019 Mr.",improve,improve,hedged,1.0
Montana Board of Equalization,"the bozeman courier (bozeman, mont.) 1919-1954",montana,1925-07-15,1925 Calm (control),j SHOW INCREASE l Returns to State Board of Equalization Indicate Return of Prosperity Helena.\u2014Indications that county assessments this year will reflect a decided return of prosperity to Mon tana are seen by the Montana Board of Equalization in the returns so far received.,improve,improve,hedged,1.0
Jonathan Fuerbringer,the new york times,,2001-04-29,2001 Dot-com Bust,"PORTFOLIOS, ETC.; It May Still Be Too Soon to Plunge Back Into Argentina
Jonathan Fuerbringer column urges caution on investing in Argentina in view of financial crisis that seems far from over; graph (M)",worsen,worsen,hedged,1.0
Brown,the new york times,,2008-10-22,2008 Financial Crisis,Brown says recession likely in Britain,worsen,worsen,hedged,1.0
G,"the milwaukee leader (milwaukee, wis.) 1911-1938",wisconsin,1920-10-26,1920 Depression,"No one can say what time will pass before the business and financial world will again be stable hut we are hoping that it will be within a brief peri* od.\u201d There is no chance, for a panic to develop from the present business depression according to G.",improve,worsen,assertive,0.0
Weigle,"the milwaukee leader (milwaukee, wis.) 1911-1938",wisconsin,1920-10-26,1920 Depression,"Said Weigle: The present start in the way of depression may de velop great momentum and cause many failures in business, but the federal reserve system will save the banks from any financial dis aster or panic.",improve,worsen,assertive,0.0
Babson,"the chickasha daily express (chickasha, indian territory [okla.]) 1899-current",oklahoma,1920-11-19,1920 Depression,IJabson takes an optimistic view of the business outlook in this country and he gives reasons for his faith in the future prosper it y of the nation.,improve,worsen,assertive,0.0
urexoa,"capital journal (salem, or.) 1919-1980",oregon,1920-11-20,1920 Depression,"urexoa Cites Ten Reasons Why Business Outlook In United States Favorable To Continued Prosperity Wellesley, Mam., Nov.",improve,worsen,assertive,0.0
Roger W.,"capital journal (salem, or.) 1919-1980",oregon,1920-11-20,1920 Depression,This profession has; of the future of industries m gen- easons why the business outlook to the United States Is favorable And why business men should as i ifiumc a more optimistic attitude r given by Roger W.,improve,worsen,assertive,0.0
Roger W.,"the idaho republican (blackfoot, idaho) 1904-1932",idaho,1920-11-24,1920 Depression,"BUSINESS ON FIRM BASIS SAYS EXPERT Gives Ten Reasons Why Business Outlook Is Good WELLESLEY, Mass.-\u00bb-Ten rea sons why the business outlook in the United States is favorable and why business men should assume a more optimistic attitude are given by Rog er W.",improve,worsen,assertive,0.0
Gary,"the indian leader (lawrence, kan.) 1897-????",kansas,1920-10-29,1920 Depression,"October 22\u2014German miners Encourage British Strikers; Business Outlook Unusually Bright, Says Gary, Steel Head; Shoe Prices Lower; Still No Man\u2019s Feed MacSwiney; Reed Takes Stand in Land\u201d; Man Without Political Party; Tie-up May Force Return to War Status in Britain; Colby to Reply to Root Wet\u201d; Wheat on Covenant; British Columbia Voted Again Goes Over $2; Harding Returned to Marion; Nominee Closes Campaign Except for a Few Ohio Speeches.",improve,worsen,assertive,0.0
Mr.,"douglas daily international (douglas, ariz.) 1913-1925",arizona,1920-12-18,1920 Depression,"An interview with him is reprinted below which throws new light on the industrial situation.) \u201cWhat is the business outlook now and for 1921?\u201d \u201cWe are laying the foundation for a business boom,\u201d said Mr.",improve,no_change,assertive,0.0
Rose,"the leader enterprise and press (fitzgerald, ben hill county, georgia) 1915-1921",georgia,1920-12-29,1920 Depression,"Rose says that there is a very optimistic business outlook prevailing in New York and other cities of the east, \u201cThepresent nervous condition in Business circles.",improve,no_change,assertive,0.0
Mr.,"the leader enterprise and press (fitzgerald, ben hill county, georgia) 1915-1921",georgia,1920-12-29,1920 Depression,in a few months to settled conditions and industrial enterprises now closed will open again\u201d said Mr.,improve,worsen,assertive,0.0
Sawyer,the washington times (washington [d.c.]) 1902-1939,district of columbia,1929-12-18,1929 Crash,Outlook Good Sawyer was optimistic over the business outlook for next year.,improve,worsen,assertive,0.0
Oliver,"south bend news-times (south bend, ind.) 1913-1938",indiana,1930-01-02,1929 Crash,"For ail this growth and development, for the bright business outlook before us and for the unselfish co-operation and support of the thousands of sincere, forward looking home folks of South Bench Oliver is thankful.",improve,worsen,assertive,0.0
Mr.,"the brooksville journal (brooksville, fla.) 192?-1959",florida,1930-04-25,1929 Crash,"\u201cThe outlook is most encourag ing,\u201d Mr.",improve,worsen,assertive,0.0
Jones,"the milwaukee leader (milwaukee, wis.) 1911-1938",wisconsin,1930-01-03,1929 Crash,"Referring to the momentary loss of confidence that followed the stock market break, Jones added: \u201cBut the vigor and strength of the nation are evidencing them selves, and after a careful survey of the business outlook we enter the new year with an optimistic spirit and high hopes, and predict that 1930 will measpre in volume of business with the preceding year.",no_change,worsen,assertive,0.0
David Samoff,the washington times (washington [d.c.]) 1902-1939,district of columbia,1930-09-12,1929 Crash,"STB FORTRADEGAIN The business outlook of the Radio Corporation of America for the last half of the year is con siderably improved, according to David Samoff, president.",improve,worsen,assertive,0.0
Senator Royal S.,"south bend news-times (south bend, ind.) 1913-1938",indiana,1930-07-19,1929 Crash,"By rnlt\u00abd Fmi: NEW YORK, July 18.\u2014President Hoover will be re-e lee ted in 1932 with the return of prosperity to the United States, Senator Royal S.",improve,worsen,assertive,0.0
Senator Copeland,"south bend news-times (south bend, ind.) 1913-1938",indiana,1930-07-19,1929 Crash,"Confining his talk mainly to the economic trend of the country, Sen ator Copeland advocated the six hour day and flve-day week, con demned speculation, chain stores and branch banks and then predicted the re-election f President Hoover with the return of prosperity in 1932.",improve,worsen,assertive,0.0
Morrow,"evening star (washington, d.c.) 1854-1972",district of columbia,1930-10-27,1929 Crash,"Morrow, warmly commending Presi dent Hoover, holds that the courage of the people will constitute the major contribution to the return of prosperity.",improve,worsen,assertive,0.0
Hoover,"marion progress (marion, n.c.) 1909-19??",north carolina,1930-05-08,1929 Crash,"LOOKIN' 'EM OVER As far as w&, can see, Hoover was right when he predicted a return of prosperity by May 8..",improve,worsen,assertive,0.0
Schwab,"evening star (washington, d.c.) 1854-1972",district of columbia,1930-10-24,1929 Crash,"It Is \u201cFill the National Goblet Legitimately.\"" I SCHWAB PREDICTS BUSINESS REVIVAL I 1 Greatest Prosperity Era in Ameri can History Is Ex pected.",improve,worsen,assertive,0.0
