date,year,quarter,forecast_growth,predicted_label,realized_label,hit
2011-01-01,2011,1,3.252,improve,improve,1
2011-04-01,2011,2,3.068,improve,improve,1
2011-07-01,2011,3,2.705,improve,improve,1
2011-10-01,2011,4,2.578,improve,no_change,0
2012-01-01,2012,1,2.669,improve,no_change,0
2012-04-01,2012,2,2.613,improve,no_change,0
2012-07-01,2012,3,2.222,improve,no_change,0
2012-10-01,2012,4,2.313,improve,improve,1
2013-01-01,2013,1,2.529,improve,no_change,0
2013-04-01,2013,2,2.668,improve,improve,1
2013-07-01,2013,3,2.693,improve,improve,1
2013-10-01,2013,4,2.797,improve,improve,1
2014-01-01,2014,1,2.939,improve,improve,1
2014-04-01,2014,2,3.096,improve,no_change,0
2014-07-01,2014,3,3.066,improve,no_change,0
2014-10-01,2014,4,2.91,improve,worsen,0
2015-01-01,2015,1,2.886,improve,worsen,0
2015-04-01,2015,2,2.87,improve,worsen,0
2015-07-01,2015,3,2.781,improve,no_change,0
2015-10-01,2015,4,2.617,improve,no_change,0
2016-01-01,2016,1,2.412,improve,no_change,0
2016-04-01,2016,2,2.386,improve,no_change,0
2016-07-01,2016,3,2.248,improve,no_change,0
2016-10-01,2016,4,2.208,improve,no_change,0
2017-01-01,2017,1,2.327,improve,improve,1
2017-04-01,2017,2,2.523,improve,improve,1
2017-07-01,2017,3,2.35,improve,improve,1
2017-10-01,2017,4,2.317,improve,improve,1
2018-01-01,2018,1,2.638,improve,no_change,0
2018-04-01,2018,2,2.695,improve,no_change,0
2018-07-01,2018,3,2.654,improve,no_change,0
2018-10-01,2018,4,2.408,improve,worsen,0
2019-01-01,2019,1,2.221,improve,no_change,0
2019-04-01,2019,2,2.002,improve,worsen,0
2019-07-01,2019,3,1.97,improve,worsen,0
2019-10-01,2019,4,1.788,improve,worsen,0
2020-01-01,2020,1,2.111,improve,no_change,0
2020-04-01,2020,2,6.99,improve,improve,1
2020-07-01,2020,3,4.609,improve,improve,1
2020-10-01,2020,4,3.38,improve,improve,1
2021-01-01,2021,1,4.515,improve,no_change,0
2021-04-01,2021,2,4.775,improve,improve,1
2021-07-01,2021,3,3.927,improve,no_change,0
2021-10-01,2021,4,3.518,improve,no_change,0
2022-01-01,2022,1,3.22,improve,no_change,0
2022-04-01,2022,2,2.299,improve,no_change,0
2022-07-01,2022,3,1.323,improve,no_change,0
2022-10-01,2022,4,0.834,no_change,no_change,1
2023-01-01,2023,1,0.831,no_change,no_change,1
2023-04-01,2023,2,0.994,no_change,no_change,1
2023-07-01,2023,3,1.142,improve,no_change,0
2023-10-01,2023,4,1.317,improve,no_change,0
2024-01-01,2024,1,1.637,improve,no_change,0
2024-04-01,2024,2,1.843,improve,no_change,0
2024-07-01,2024,3,1.866,improve,no_change,0
2024-10-01,2024,4,1.978,improve,no_change,0
2025-01-01,2025,1,2.101,improve,no_change,0
2025-04-01,2025,2,1.436,improve,no_change,0
2025-07-01,2025,3,1.529,improve,improve,1
2025-10-01,2025,4,1.704,improve,improve,1
2026-01-01,2026,1,2.143,improve,improve,1
2026-04-01,2026,2,1.911,improve,improve,1
